INFORM Severity Index - all countries. Release: March 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
International Refugees in Malaysia,MYS001,Malaysia,MYS,Displacement,2.3,3,Medium,Stable,Medium,2.8,1.7,3.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-02-28 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Drought,2.4,3,Medium,Stable,High,2.7,4.3,1.5,2.85,2.7,3,1.3,1.5,1,Africa,2023-03-15 00:00:00
Multiple crises in Niger,NER001,Niger,NER,"Conflict,Displacement",3.9,4,High,Increasing,Very High,3.8,4.9,3,4.1,4.2,4,3.5,2.8,4,Africa,2023-03-22 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",4.1,5,Very High,Stable,High,4.5,5,4.1,4,5,3,4,3.4,4.5,Africa,2023-03-24 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Socio-political,x,x,x,-,High,2.9,4,2.1,x,x,x,2.9,2.7,3,Americas,2023-01-24 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,"Displacement,Conflict",3.8,4,High,Stable,High,4,5,3.2,4,5,3,3.4,3.3,3.5,Asia,2023-03-27 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,Displacement,2.3,3,Medium,Stable,High,2.9,2.6,3,2.2,1.4,3,1.9,1.8,2,Americas,2023-02-21 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,Displacement,3.2,4,High,Stable,Very High,3.9,5,3,3.35,3.7,3,2.3,2.5,2,Americas,2023-02-28 00:00:00
Multiple crises in the Philippines,PHL001,Philippines,PHL,"Conflict,Cyclone,Violence,Floods,Other seasonal event",2.6,3,Medium,Decreasing,High,3.5,4.8,2.4,2.05,2.1,2,2.7,2.9,2.5,Asia,2023-02-28 00:00:00
Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.6,3,Medium,Decreasing,High,2.2,1.8,2.4,2.7,2.4,3,2.7,2.4,3,Pacific,2023-03-28 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,"Displacement,Conflict",2.5,3,Medium,Decreasing,Very High,2.9,2,3.3,3.35,3.7,3,0.9,0.8,1,Europe,2023-03-28 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.3,2.6,2,Asia,2023-03-28 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",3.5,4,High,Stable,Very High,4,3.4,4.2,3.45,3.9,3,3.3,2.3,4,Middle east,2023-03-25 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,"Conflict,Displacement",1.4,2,Low,Decreasing,Very High,1.7,2,1.6,1.35,1.7,1,1.2,1.3,1,Europe,2023-03-28 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2023-03-17 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.4,5,Very High,Stable,Very High,4.4,4.8,4.2,4.5,5,4,4.1,4.2,4,Africa,2023-03-14 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Very High,3,4.5,1.8,2.6,3.2,2,1.6,2.2,1,Africa,2023-03-29 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Decreasing,High,3.3,3.7,3,3.2,3.4,3,2.7,2.3,3,Americas,2023-03-01 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Increasing,Very High,4.8,4.7,4.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2023-03-29 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Stable,High,4.6,4.6,4.6,4.5,5,4,4.2,3.8,4.5,Africa,2023-03-27 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,"Displacement,Conflict",1.8,2,Low,Decreasing,Very High,1.6,1.5,1.6,2.35,1.7,3,1.1,1.1,1,Europe,2023-03-15 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Stable,High,2,3.1,1.4,2.7,2.4,3,1.8,2.5,1,Africa,2023-03-27 00:00:00
Syrian conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,Very High,4.8,4.5,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2023-03-25 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement",4.4,5,Very High,Stable,Medium,3.9,4.7,3.4,4.8,4.6,5,4.2,3.8,4.5,Africa,2023-02-28 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,"Conflict,Displacement",1.8,2,Low,Stable,Medium,2,1.2,2.4,1.3,1.6,1,2.5,2.5,2.5,Asia,2023-03-28 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,2,2,Low,Stable,Very High,2.8,2.9,2.8,1.45,0.9,2,2.2,1.9,2.5,Americas,2023-02-28 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,1.8,2,Low,Stable,Very High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.4,2,Africa,2023-03-28 00:00:00
Complex situation in Türkiye,TUR001,Türkiye,TUR,"Displacement,Conflict",3.4,4,High,Increasing,High,4.3,4.3,4.3,3.05,4.1,2,3.2,3.4,3,Middle east,2023-03-25 00:00:00
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,"Displacement,Drought",2.6,3,Medium,Stable,Very High,3.2,3.4,3.1,2.75,3.5,2,1.8,2,1.5,Africa,2023-03-27 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.2,1.7,3.7,3.3,3.6,3,2.9,3.6,2,Africa,2023-03-30 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,"Conflict,Displacement",4.1,5,Very High,Stable,Very High,5,4.9,5,4.5,5,4,2.8,2.6,3,Europe,2023-03-28 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4,4,High,Stable,High,4.4,4.9,4,4,5,3,3.8,3.5,4,Americas,2023-01-31 00:00:00
Cyclone Judy and cyclone Kevin in Vanuatu,VUT003,Vanuatu,VUT,Cyclone,2.2,3,Medium,-,Medium,2.2,3,1.8,3,2,4,1,0.9,1,Pacific,2023-03-20 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Conflict,4.7,5,Very High,Stable,Very High,4.7,4.8,4.6,5,5,5,4.3,4.1,4.5,Middle east,2023-03-30 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.9,3,Medium,Stable,High,3.1,4.3,2.2,3.4,3.8,3,1.9,1.8,2,Africa,2023-03-23 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.5,4,High,Decreasing,Very High,3.9,4.6,3.5,3.55,4.1,3,3,2.9,3,Africa,2023-03-27 00:00:00
