,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0.005611584850580011,0,0,0.6,0.00871368327858158,0,0.3,0.2,2.8,1,5,3.9,4.3,0.6383689839572193,5,4.7,2,1.60427807486631e-05,0.8,1.4,3.5,3.7
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,5,1,5,5,5,0.4705771566864106,2.3,3.65,4.4,2.6,0.011836628511966702,0,1.3,4,0.5316990701606086,5,4.5,5,0.006142011834319527,5,5,4.8,3.6
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,5,1,5,5,5,0.4705771566864106,2.3,3.65,4.4,1.9,0.004512527015128472,0,0.95,4,1.3392461197339247,5,4.5,5,0.015968957871396895,5,5,4.8,3.5
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,4,0.029697875364614615,0,2,5,0.21670449087981317,1,3,2.5,0.6,0.001586094513851168,0,0.3,0.7,0.0410958904109589,1.4,1.1,2.6,0.0008767123287671233,5,3.8,2.7,1.7
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1,5,4.85,2.6,1.1385046728971964,5,3.8,4.4,3.8,1,5,4.4,4.4,0.20587752421605648,5,4.7,3.5,4.432769660154326e-05,2.2,2.9,4,4.2
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.3,0.6094371207365558,3,3.65,3.9,0.048240343347639485,1.6,2.8,0,8.583690987124463e-08,0,0,1.6,2.8
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.4,0.9321571365107572,4.7,4.550000000000001,4.8,1,5,4.9,4.7,3.5,0.13605072463768117,0.6,2.05,4.7,0.5387483355525965,5,4.9,3.7,0.00010412782956058589,5,4.4,4.7,3.7
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,1.9,0.13778985507246377,0.6,1.25,1.4,2.7,0.3276360767814883,1.6,2.1500000000000004,3.7,0.3089887640449438,5,4.4,2.9,9.309791332263243e-05,4.7,3.8,4.1,3.3
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.1882866873981934,0.9,2.0500000000000003,3.8,0.48818840579710143,2.4,3.0999999999999996,2.6,3,0.1509573994359507,0.7,1.85,4,0.29400196656833827,5,4.5,3.2,8.80039331366765e-05,4.4,3.8,4.2,3.2
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.8,0.4271794546339193,2.1,2.95,2.5,0.205,1,1.75,2.4,2,0.0839519264757865,0.4,1.2,3.6,0.7305263157894737,5,4.3,1.9,4.421052631578947e-05,2.2,2.1,3.4,2.5
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.9,0.24339681721063877,1.2,3.0500000000000003,5,0.3505618827802792,5,5,4.8,8.940936092928223e-05,4.5,4.7,4.9,4.2
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,0,0.11293103448275862,0.5,0.25,3.1,1.6,0.42748091603053434,2.1,1.85,3,0.4785714285714286,5,4,1.7,5.357142857142857e-05,2.7,2.2,3.2,2.6
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.46938775510204084,5,5,5,0.0003189795918367347,5,5,5,4.1
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,5,1,5,5,4.7,0.508953488372093,2.5,3.6,4.4,3.7,0.21148427385576118,1,2.35,4.8,0.44616492617933023,5,4.9,x,x,x,x,4.9,4
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.5,0.21800529567519858,1.1,1.3,3.3,0.8097165991902834,5,4.2,x,x,x,x,4.2,3.1
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5575296108291032,2.8,2.5,2.4,0.06828528072837632,2.3,2.4,1.4,1.5174506828528072e-05,0.8,1.1,1.8,2.2
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5761421319796954,2.9,1.45,1.5,0.3,0.06607929515418502,0.3,0.3,2.4,1,5,3.7,1.4,0.00022222222222222223,5,3.2,3.5,2.2
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.1,0.5135363790186125,2.5,2.3,x,x,x,x,x,x,x,x,x,2.3
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9440142942227516,4.7,4.4,2.9,0.012092534174553101,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.0057700354570881145,0,0.75,3.5,1,5,4.3,3.5,0.0011412213740458015,5,4.3,4.3,3
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004911137049353624,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,1.1,3.4482758620689657e-05,1.7,1.4,1.4,2
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1.0049111370493535,5,5,5,1.9,0.00955511724742494,0,0.95,3.5,0.6009174311926605,5,4.3,3.6,0.0007362385321100917,5,4.3,4.3,3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.47066825369835064,2.3,3.15,4.1,0.09670038535645473,3.2,3.7,1.4,1.0838150289017341e-06,0.1,0.8,2.5,2.8
Syrian Refugee Crisis in Egypt,Displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12595800805617938,0.6,2.1999999999999997,2,1.1,0.010258950049525966,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.2953813104189044,1.4,2,3.6,0.3054545454545455,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.2557014221997812,1.2,2.4,2.3,1.1,0.011189731775547145,0,0.55,3,1,5,4,3.6,0.002338235294117647,5,4.3,4.2,2.8
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6867475646825112,3.4,4.2,5,0.05060467709894399,1.7,3.4,4.6,1.9609893237607315e-05,1,2.8,3.1,3.7
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,0.9938648348930534,5,5,5,5,0.3369804293030648,1.7,3.35,4.3,0.023440291574358608,0.8,2.6,x,x,x,x,2.6,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.24014105295070326,1.2,3.0500000000000003,2.9,5,1,5,5,4.9,0.08637873754152824,2.9,3.9,4.2,2.8970099667774087e-05,1.4,2.8,3.4,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.47868648428711613,2.4,3.7,4,4.8,0.40166666666666667,2,3.4,4.1,0.03203319502074689,1.1,2.6,2,9.95850622406639e-07,0,1,1.9,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.026097750193948797,0,0.45,0,0.038822852760736194,0.1,0.05,0.3,1.2,0.3950617283950617,1.9,1.5499999999999998,3.1,1,5,4.1,0.4,1.25e-05,0.6,0.5,2.7,2.2
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.32947976878612717,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,4,0.00010508771929824562,5,4.5,3.7,3.2
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.5,0.4166666666666667,2.1,2.8,3.4,0.06175,2.1,2.8,4,0.00016875,5,4.5,3.8,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,3.1,0.01951219512195122,0.7,1.9,5,0.000364390243902439,5,5,3.9,3.9
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0,0.05749828582623175,0.2,0.1,0.4,0.1,0.05792163543441227,0.2,0.15000000000000002,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2,4.965060684075028e-06,0.2,1.1,1.5,3.2
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.2,0.02238187344570323,0.7,2,3.7,5.042829510914617e-05,2.5,3.1,2.6,2.7
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.7,0.04055555555555555,1.4,2.1,3.6,0.00018777777777777779,5,4.3,3.4,2.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1.1101454201160448,5,5,4.7,3.8,0.1273180545836249,0.6,2.1999999999999997,5,1.4620405358983168,5,5,4.6,0.0002842665750601168,5,4.8,4.9,3.9
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5569811320754716,5,5,4.6,0.0003122641509433962,5,4.8,4.9,3.9
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08898968502486646,0.4,1.5,2.4,0.12507586608725207,0.6,1.5,1.5,2,0.10131987577639752,0.5,1.25,3.4,0.49808429118773945,5,4.2,0,0,0,0,2.7,2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.7,0.011067347257323711,0,1.35,1.5,1.5,0.03930982745686422,0.1,0.8,3.5,1,5,4.3,4,0.0025877862595419846,5,4.5,4.4,3.1
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.6,0.45228011245390487,2.2,3.4,4.1,4.8,1,5,4.9,4.2,0.03434914228052472,1.1,2.7,x,x,x,x,2.7,4.1
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.3,0.022271714922048998,0.1,0.2,0.8,2.2,0.5418032786885246,2.7,2.45,4,1,5,4.5,x,x,x,x,4.5,3.7
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.6,0.4506188615867684,2.2,3.4,4.1,4.8,1,5,4.9,x,x,x,x,x,x,x,x,x,4.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,4.5,0.24511687479987193,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,x,x,x,x,1.4,1.440922190201729e-06,0.1,0.8,0.8,2.9
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.2283716865715118,5,4.8,4.1,0.00010501019516457909,5,4.6,4.7,4.6
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10734051849694146,0.5,1.4,4.1,1,5,4.6,4,0.0009199457259158752,5,4.5,4.6,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0.7,1.3540350243726306e-07,0,0.4,0.2,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.000556571519440248,0,0,1.9,1,5,3.5,3.6,0.015142857142857144,5,4.3,3.9,2.4
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.0625,0.3,0.15,0.2,0.9,0.4976958525345622,2.5,1.7,2.9,1,5,4,0,0,0,0,2.5,2.1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,3.6,0.1593315134163393,0.8,2.2,2.3,0.008984538236523192,0.3,1.3,2.2,6.8951107396573335e-06,0.3,1.3,1.3,1.8
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.6,0.20740395499034556,1,1.8,2.1,3.6,0.7537720706260033,3.8,3.7,1.3,0.0017035775127768314,0.1,0.7,x,x,x,x,0.7,2.5
Tropical cyclone Cheneso in Madagascar,Cyclone,MDG007,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,0.8,0.0030294959717690924,0,0.4,2.2,0.37362637362637363,5,3.6,2.2,0.00036263736263736265,5,3.6,3.6,2.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014026359143327841,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.02032981530343008,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9642525377066901,4.8,4.9,4.8,1.4,0.0019968295951165254,0,0.7,3.4,1,5,4.2,4.2,0.0035482456140350878,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.1075968992248062,3.6,4.1,4.6,0.00013,5,4.8,4.5,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9802669345579793,4.9,4.95,4.9,0.050966254300563646,1.7,3.3,5,0.0001437852280213747,5,5,4.3,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.062284730195177954,0.3,1.05,1.2,3.4,1,5,4.2,4.5,0.37557603686635943,5,4.8,3.6,9.706221198156682e-05,4.9,4.3,4.6,4.4
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08741747990815155,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.02011081469320747,0.7,1.8,3.9,0.00011532936589369998,5,4.5,3.5,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8502977898966705,4.2,4.6,4.4,5,0.9767927593409144,4.9,4.95,4.5,0.029871055530357026,1,2.8,5,0.00015028402341303267,5,5,4.2,4.6
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.1,0.38614283170986036,1.9,3,3.8,0.3971030011005027,2,2.9,3,4.2,0.7749232267245899,3.9,4.05,4.3,0.10110187512081964,3.4,3.9,3.8,4.175526773632322e-05,2.1,3,3.5,3.8
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.3064156330864638,1.5,2.45,2.7,4.2,1,5,4.6,4.3,0.09988351776354105,3.3,3.8,3.8,4.09629198213939e-05,2,2.9,3.4,4.1
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.029298812279050842,0,1.15,1.6,0.09068736801403884,0.4,1,1.1,0.2,0.014102984585109873,0,0.1,1.8,0.3953488372093023,5,3.4,1.4,0.00023255813953488373,5,3.2,3.3,2
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.419655815882231,2.1,1.55,2,3,1,5,4,2.8,0.04841897233201581,1.6,2.2,0,0,0,0,1.2,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.1,0.9062823968484346,4.5,3.3,4.3,2.9,0.4102036147334706,2,2.45,x,x,x,x,0,0,0,0,0,1.4
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,4.2,0.5531422825540473,2.7,3.45,4,0.05399018360298127,1.8,2.9,3.9,4.526449736411562e-05,2.3,3.1,3,3.2
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.01823587710604559,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.7,0.49865229110512127,2.5,2.6,0,0,0,0,0,0,0,0,0,1.5
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,5,1.0002368358727403,5,5,4.7,1,5,4.85,4.9,4.2,0.38076923076923075,1.9,3.05,4.1,0.07090909090909091,2.4,3.3,3.6,3.585858585858586e-05,1.8,2.7,3,3
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.02519230769230769,0.1,0.05,1.2,2.2,1,5,3.6,3.6,0.48091603053435117,5,4.3,2.4,7.022900763358778e-05,3.5,3,3.7,3.7
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,2.6,0.2326923076923077,1.1,1.85,2.1,3.1,0.39834710743801655,2,2.55,3.6,0.12780082987551866,4.3,4,3.5,0.00011037344398340249,5,4.3,4.2,3.5
Nigerian Refugees,Displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,2.1,0.16765384615384615,0.8,1.4500000000000002,1.1,2.5,0.21954576737783896,1.1,1.8,2.6,0.06792058516196448,2.3,2.5,1.9,2.2988505747126437e-05,1.1,1.5,2,1.9
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,1,5,5,5,4.8,0.10500151946043279,0.5,2.65,5,0.2633693304535637,5,5,5,0.00020846652267818573,5,5,5,4.1
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4,0.07044853564835603,0.3,2.15,2.2,3.1,0.13913211434457892,0.7,1.9,3.9,0.2688570106432207,5,4.5,3.7,0.00018232299861175382,5,4.4,4.5,3.5
Boko Haram crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.07302481482993382,0.3,2.15,2.2,4.5,1,5,4.75,5,0.2957142857142857,5,5,4.7,0.00011434782608695653,5,4.9,5,4.9
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.18837227234173798,0.9,2.95,2.8,3.6,0.1151669836989237,0.5,2.05,4,0.13568889818105792,4.5,4.3,4.6,0.0003729876646456199,5,4.8,4.6,3.6
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.4,0.11953511863587953,0.5,1.95,3.7,0.057490032793131134,0.2,1.9500000000000002,2,0.9,0.008362919132149902,0,0.45,2.9,1,5,4,x,x,x,x,4,2.6
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.6,1,5,3.8,4,1.3,0.032252862441541685,0.1,0.7000000000000001,3.3,1,5,4.2,1.2,3.5e-05,1.8,1.5,3.1,2.1
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.21899983578361465,1.1,3.05,5,0.07520176806046135,2.5,3.8,4.3,1.9792016101979203e-05,1,2.7,3.3,3.2
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.1,0.018323091416668828,0,1.05,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,4.7,0.8689173412204234,4.3,4.5,5,0.14260896621463945,0.7,2.85,3.8,5,1,5,5,2.1,0.0009393939393939394,0,1.1,4.6,5.26969696969697e-05,2.6,3.6,2.6,4.1
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,3.1,0.9978073715361852,5,4.05,0,0.032122286220646876,0.1,0.05,2.6,0.6,0.503448275862069,2.5,1.55,3.1,1.9863013698630136,5,4.1,2.8,0.0012191780821917807,5,3.9,4,3
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,5,1,5,5,5,1,5,5,5,4.2,0.30219730807278394,1.5,2.85,4.6,0.15573851800416624,5,4.8,0,9.919650828290844e-08,0,0,3.2,3
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,4.1,1.006137438374082,5,4.55,5,1,5,5,4.8,4.1,0.07952638192106977,0.4,2.25,3.2,0.021220159151193633,0.7,2,3.7,4.5554146003921116e-05,2.3,3,2.5,2.4
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,3.6,0.46401046382935907,2.3,2.95,4.7,0.24077114268157346,1.2,2.95,3,1,0.004647264970287978,0,0.5,3,1,5,4,3.2,0.0015245901639344263,5,4.1,4.1,2.7
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,4,0.7982023677767717,4,4,5,0.8801188630964937,4.4,4.7,4.4,3.8,0.0659427690127342,0.3,2.05,2.5,0.008533501896333754,0.3,1.4,3.2,2.5916561314791404e-05,1.3,2.3,1.9,2
