Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,563,x,x,#N/A,x,2552000,353000,154000,0,0,2,x,x,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",1955270,109713000,62817000,2494000,4893,59766,174,x,x,#N/A,7852053,46896000,37184000,24565000,1068000,0,5,x,x,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,#N/A,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19126000,79000,79000,x,x,0,0,0,#N/A,x,19047000,0,79000,x,x,2,x,x,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145450000,1213000,1213000,x,x,0,0,0,#N/A,x,144237000,0,1213000,0,0,2,x,x,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2517000,135000,135000,x,x,x,0,0,#N/A,0,2382000,0,135000,x,x,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49800000,49800000,11544000,6000,x,6873,48200,24800,#N/A,14851,0,25117000,10485000,8970000,5228000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,89263,14770000,14770000,962000,x,x,12,x,x,#N/A,x,0,13676000,650000,218000,226000,2,#N/A,#N/A,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,196710,18032000,3021000,4000,0,0,15,0,0,#N/A,x,15012000,2707000,314000,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,1115000,73000,x,x,24,x,x,#N/A,x,5185000,0,446000,669000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,16900000,16900000,7830000,608,1800000,4241,x,x,#N/A,x,0,10000000,3450000,2156000,1294000,5,x,x,1.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,38000,38000,x,x,9,0,0,#N/A,0,2656000,0,38000,x,x,1,x,x,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12777000,12777000,6994000,x,2141832,379,x,x,#N/A,14369,0,3777000,9000000,x,x,5,x,1500000,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,48080,5548000,116000,116000,x,x,0,0,0,#N/A,x,5432000,0,116000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1188000,714000,x,0,0,0,#N/A,#N/A,#N/A,#N/A,475000,431000,268000,15000,0,1,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,22125000,22125000,15254000,x,x,1793,x,x,#N/A,x,0,6171000,11661000,4177000,116000,5,x,1160000,1.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,2700000,11200,x,0,10000,10600,#N/A,x,4778000,4700000,2993000,1066000,41000,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18294000,5373000,1537000,x,x,18,x,x,#N/A,x,12921000,0,2531000,1744000,1098000,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0
