Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,36000,6458000,704000,287000,x,x,0,x,0,#N/A,x,5755000,416000,264000,20000,3000,5,x,0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,41055,58727000,174000,174000,x,x,725,x,0,#N/A,x,58553000,0,174000,x,x,3,x,x,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,40463,9280000,1839000,1319000,x,x,3,x,x,#N/A,x,7441000,488000,1325000,26000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,543630,30075000,29517000,808000,x,940000,664,0,0,#N/A,0,559000,27526000,1965000,26000,0,3,0,0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,38244,1326000,767000,767000,0,940000,0,0,0,#N/A,0,559000,0,767000,x,x,2,0,x,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,543630,28749000,28749000,40000,x,940000,32,0,0,#N/A,0,0,27526000,1198000,26000,0,3,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,10450,5700000,5700000,171000,2,0,6,x,x,#N/A,x,0,4180000,1491000,30000,0,2,x,x,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,10450,5700000,5700000,92000,x,x,425,x,x,#N/A,x,0,2000000,3700000,x,x,3,x,x,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,1759540,6948000,6948000,876000,x,x,939,2217,1127,#N/A,x,0,5783000,351000,814000,0,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,1759540,6948000,769000,769000,x,x,913,x,x,#N/A,x,6179000,0,769000,x,x,4,79000,229000,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,67827,2010000,884000,45000,x,x,0,2217,1127,#N/A,x,1126000,0,884000,x,x,5,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,62705,22037000,7000000,0,25,x,5,x,x,#N/A,x,15037000,1720000,5280000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,62705,22037000,7000000,0,20,x,0,x,x,#N/A,x,15037000,1720000,5280000,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,14952,6258000,245000,0,5,x,5,x,x,#N/A,x,6013000,149000,95000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,62610,2873000,41000,41000,x,x,0,0,0,#N/A,x,2832000,0,41000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,62230,1927000,48000,48000,x,x,0,0,0,#N/A,x,1879000,0,48000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,446300,38146000,2820000,520000,5500,x,290,40579,19095,#N/A,x,35326000,2300000,520000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,446300,38146000,20000,20000,x,x,248,0,0,#N/A,0,38126000,0,20000,x,x,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,53316,6600000,2800000,500000,5500,x,0,40579,19095,#N/A,x,3800000,2300000,500000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,32970,2657000,118000,118000,x,x,0,0,0,#N/A,x,2539000,0,118000,0,0,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,233094,8487000,8487000,53000,0,226451,0,26768,10300,#N/A,481000000,0,6197000,2247000,43000,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,4410000,2876000,8000,x,196451,x,x,x,#N/A,x,1535000,1866000,911000,99000,0,1,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,233094,8487000,8487000,45000,0,30000,17,3168,10300,#N/A,481000000,0,7904000,908000,0,x,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,1943950,127504000,614000,614000,x,x,3373,x,x,#N/A,x,126897000,487000,128000,0,0,5,x,x,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,1943950,127504000,386000,386000,x,x,3079,x,x,#N/A,x,127118000,386000,x,x,x,5,x,x,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,1159951,57925000,228000,228000,x,x,48,x,x,#N/A,x,57696000,101000,128000,0,0,3,x,x,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,1240190,22594000,7107000,1559000,2,44056,2395,x,1,#N/A,x,15486000,0,2923000,2482000,1703000,5,x,x,0.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,676578,55960000,55960000,4025000,x,x,8750,x,x,#N/A,x,0,37366000,13479000,5115000,x,5,x,x,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,36778,3472000,3472000,1279000,x,x,1050,x,x,#N/A,x,0,1791000,437000,1244000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,149600,4873000,4873000,92000,x,x,1472,x,x,#N/A,x,0,3065000,1429000,379000,x,4,x,x,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,676578,55960000,55960000,2654000,x,x,6228,x,x,#N/A,x,0,40855000,11613000,3492000,x,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0
2024 Dzud,Other seasonal event,MNG004,Mongolia,MNG,1260000,893000,545000,0,0,x,0,x,x,#N/A,x,348000,345000,123000,77000,x,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,786380,34644000,34644000,709000,202,x,362,6661,1773,#N/A,x,0,32390000,1086000,1168000,x,3,x,x,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,280615,11584000,11584000,583000,x,x,216,x,x,#N/A,x,0,9884000,540000,1160000,x,3,x,x,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,206000,2024000,119000,119000,0,x,1,0,0,#N/A,x,1904000,0,119000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,1030700,4582000,1388000,x,x,136000,1,x,x,#N/A,x,3194000,1023000,358000,7000,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,94080,19692000,10569000,103000,2186,59287,1797,260681,120394,#N/A,507,9123000,6167000,4136000,266000,0,3,0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,31780,7751000,2300000,659000,2178,0,1200,260681,120394,#N/A,507,5451000,663000,1637000,0,0,2,0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,9206,10976000,10976000,187000,x,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,10788000,187000,x,x,2,#N/A,#N/A,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,823290,2642000,1638000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1004000,943000,630000,65000,0,1,#N/A,#N/A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,409324,26155000,10738000,849000,5,x,949,x,x,#N/A,x,15417000,7301000,3311000,126000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,156906,788000,315000,328000,141012,x,114,x,x,#N/A,x,220000,0,57000,512000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210622,7550000,1749000,423000,x,x,809,x,x,#N/A,x,5801000,0,876000,873000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
Nigerian Refugees,Displacement,NER004,Niger,NER,41796,4202000,823000,98000,x,x,26,0,0,#N/A,0,3379000,0,823000,0,0,2,x,x,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,910770,193523000,88772000,5896000,x,x,4693,x,x,#N/A,x,104750000,63958000,23706000,1108000,0,4,x,x,1.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0
Middle belt conflict,Violence,NGA003,Nigeria,NGA,142964,18000000,8445000,470000,x,x,268,x,x,#N/A,x,9555000,5977000,2468000,0,0,2,x,x,1.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,157918,16100000,16100000,4649000,x,x,1335,x,x,#N/A,x,0,8200000,5600000,2100000,200000,3,x,x,1.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,237708,42748000,23239000,690000,x,x,1923,x,x,#N/A,x,19508000,15815000,6994000,431000,0,2,x,x,1.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,108869,12675000,87000,87000,x,x,x,x,x,#N/A,x,12588000,0,87000,x,x,2,x,x,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,120340,6948000,250000,250000,x,x,6,x,x,#N/A,x,6698000,250000,x,x,x,x,x,x,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,91315,11972000,1634000,58000,364,x,153,35489,26550,#N/A,x,10338000,1384000,250000,0,0,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,770880,239633000,94415000,3598000,12900,x,1198,1200000,805000,#N/A,x,145218000,73815000,18503000,2097000,0,5,x,x,2.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4179000,x,x,x,x,1,x,x,#N/A,x,4179000,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,669831,33000000,33000000,300000,12867,0,1739,1200000,805000,#N/A,0,0,12400000,20570000,30000,0,1,#N/A,#N/A,2.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,74180,58000,58000,58000,x,x,8,x,x,#N/A,x,0,23000,36000,0,0,2,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,189315,34050000,14621000,3460000,x,x,0,x,x,#N/A,x,19429000,12571000,2050000,0,0,3,x,x,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,99949,26252000,150000,150000,x,x,217,x,x,#N/A,x,26102000,0,150000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,63679,4566000,265000,31000,x,x,148,x,x,#N/A,x,4302000,233000,31000,x,x,4,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,306100,37778000,957000,957000,x,x,0,0,0,#N/A,x,36822000,0,957000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,120410,26172000,26172000,34000,x,x,0,x,x,#N/A,x,0,15254000,4970000,5459000,0,1,x,x,1.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,6025,5613000,4782000,6542000,74246,x,32616,290987,80502,#N/A,x,831000,1594000,1031000,977000,1180000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,5660,3326000,2494000,2967000,6627,x,399,x,10491,#N/A,x,831000,1594000,756000,108000,36000,5,x,x,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,365,2288000,2288000,3575000,69946,x,32217,290987,70011,#N/A,x,0,0,275000,869000,1144000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",368971,21538000,11099000,5468000,1,x,1893,0,4300,#N/A,5200000,10439000,0,5819000,4406000,874000,5,x,800000,1.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5811256,214402000,64593000,11996000,x,x,512,x,x,#N/A,x,149809000,37651000,26943000,0,0,5,x,x,2.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",566255,96540000,34478000,24720000,x,x,2554,x,x,#N/A,x,62062000,13930000,14167000,6254000,127000,5,#N/A,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",150195,16386000,854000,492000,x,x,16,x,x,#N/A,x,15532000,374000,459000,21000,0,2,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4600608,124219000,7467000,2164000,x,x,725,x,x,#N/A,x,116752000,5783000,1684000,x,x,4,x,x,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",3327774,131625000,359000,359000,x,x,248,x,x,#N/A,x,131266000,0,359000,x,x,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37488,4994000,4994000,1279000,x,x,1076,x,x,#N/A,x,0,1794000,1736000,1464000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",1995949,80180000,62202000,453000,2242,335155,3102,437,437,#N/A,228,17978000,48958000,12859000,386000,0,5,#N/A,#N/A,2.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,562,x,x,#N/A,x,2552000,353000,154000,0,0,2,x,x,2.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",2171646,142080000,132789000,2494000,4893,59766,32,x,x,#N/A,7852053,9291000,108649000,11977000,12164000,0,5,x,x,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,#N/A,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19125000,78000,78000,x,x,0,0,0,#N/A,x,19047000,0,78000,x,x,2,x,x,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145450000,1213000,1213000,x,x,0,x,x,#N/A,x,144237000,0,1213000,0,0,2,x,x,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0
