,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,5,1,5,5,5,0.4705771566864106,2.3,3.65,4.4,2.4,0.008684863523573201,0,1.2,4,0.706221198156682,5,4.5,5,0.008243087557603687,5,5,4.8,3.5
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,5,0.4249220520355007,2.1,3.55,5,0.4705771566864106,2.3,3.65,3.6,1.9,0.004512527015128472,0,0.95,4,1.3392461197339247,5,4.5,x,x,x,x,4.5,3.2
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,4.6,0.06757005745297398,0.2,2.4,3.9,0.06902055691053083,0.3,2.1,2.3,1.9,0.028446688041476226,0.1,1,1.4,0.02158273381294964,0.7,1.1,x,x,x,x,1.1,1.1
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1,5,4.85,2.6,1.1385046728971964,5,3.8,4.4,3.8,1,5,4.4,4.4,0.200788047939583,5,4.7,3.5,4.432769660154326e-05,2.2,2.9,4,4.2
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.4,0.673626430000513,3.4,3.9000000000000004,3.9,0.039905566978904884,1.3,2.6,0.7,2.284669865204478e-07,0,0.4,1.6,2.9
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.4,0.9321571365107572,4.7,4.550000000000001,4.8,1,5,4.9,4.7,3.5,0.13605072463768117,0.6,2.05,4.7,0.5478029294274301,5,4.9,3.7,0.00010599201065246338,5,4.4,4.7,3.7
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,1.9,0.13778985507246377,0.6,1.25,1.4,2.7,0.3276360767814883,1.6,2.1500000000000004,3.7,0.3089887640449438,5,4.4,3.2,0.00013402889245585874,5,4.1,4.3,3.4
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.1882866873981934,0.9,2.0500000000000003,3.8,0.48818840579710143,2.4,3.0999999999999996,2.6,3,0.1509573994359507,0.7,1.85,4,0.3087512291052114,5,4.5,3.4,0.0001135693215339233,5,4.2,4.4,3.4
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.8,0.4271794546339193,2.1,2.95,2.5,0.205,1,1.75,2.4,2,0.0839519264757865,0.4,1.2,3.6,0.7326315789473684,5,4.3,2,5.2631578947368424e-05,2.6,2.3,3.5,2.5
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.9,0.24339681721063877,1.2,3.0500000000000003,5,0.2491959589844489,5,5,4.8,9.039312876007416e-05,4.5,4.7,4.9,4.2
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,1.6,0.050517241379310344,0.2,0.9,3,0.45733788395904434,5,4,1.3,2.7303754266211605e-05,1.4,1.4,2.9,2
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.46938775510204084,5,5,5,0.0003242857142857143,5,5,5,4.1
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,5,1,5,5,5,0.7057558139534884,3.5,4.25,4.7,3.8,0.15866216327539337,0.8,2.3,4.8,0.4288681204569055,5,4.9,x,x,x,x,4.9,3.9
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.5,0.21800529567519858,1.1,1.3,3.3,0.8097165991902834,5,4.2,x,x,x,x,4.2,3.1
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5575296108291032,2.8,2.5,2.4,0.06828528072837632,2.3,2.4,1.4,1.5174506828528072e-05,0.8,1.1,1.8,2.2
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5761421319796954,2.9,1.45,1.5,0.3,0.06607929515418502,0.3,0.3,2.4,1,5,3.7,1.4,0.00022222222222222223,5,3.2,3.5,2.2
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.1,0.5135363790186125,2.5,2.3,x,x,x,x,x,x,x,x,x,2.3
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.2,1,5,4.1,4,4,0.9370676188350815,4.7,4.35,2.9,0.013693736603953323,0.5,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005757356011163118,0,0.75,3.5,1,5,4.3,2.9,0.00040458015267175575,5,4,4.2,2.9
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004900345001867845,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0.4,1.1494252873563218e-05,0.6,0.5,0.5,1.6
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1.0049003450018679,5,5,5,1.9,0.009534222610977477,0,0.95,3.5,0.6009174311926605,5,4.3,3,0.00027293577981651375,5,4,4.2,3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4265647825598382,2.1,3.05,4,0.08601159114857745,2.9,3.5,1.9,3.029504741833509e-06,0.2,1.1,2.5,2.8
Multiple crisis in Egypt,"Conflict,Displacement",EGY001,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.9,0.12738864814946366,0.6,2.25,2.1,1.8,0.024884985361773318,0.1,0.9500000000000001,3.6,1,5,4.3,0,0,0,0,2.8,2
Syrian refugee crisis in Egypt,Displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12552390424096044,0.6,2.1999999999999997,2,1.1,0.010398981324278437,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Sudanese refugees in Egypt,"Displacement,Conflict",EGY003,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12608332741351141,0.6,2.1999999999999997,2,1.4,0.01478977392774139,0,0.7,3.3,1,5,4.2,0,0,0,0,2.7,1.8
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.29396044895777657,1.4,2,3.6,0.31363636363636366,5,4.3,0,0,0,0,2.8,2.4
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.25585995034297015,1.2,2.4,2.3,1.1,0.011677631578947368,0,0.55,3.1,1,5,4.1,3.1,0.0010774647887323943,5,4.1,4.1,2.7
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6867475646825112,3.4,4.2,5,0.06379023919887546,2.1,3.6,4.1,9.061443557662147e-06,0.5,2.3,3,3.7
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,0.9938648348930534,5,5,5,5,0.3369804293030648,1.7,3.35,4.2,0.0212248981633674,0.7,2.5,x,x,x,x,2.5,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.24014105295070326,1.2,3.0500000000000003,2.9,5,1,5,5,4.9,0.08637873754152824,2.9,3.9,3.4,7.740863787375415e-06,0.4,1.9,3.1,4.3
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.47868648428711613,2.4,3.7,4,4.8,0.40166666666666667,2,3.4,4.2,0.03676348547717842,1.2,2.7,2,9.95850622406639e-07,0,1,1.9,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.026097750193948797,0,0.45,0,0.04006901840490797,0.2,0.1,0.3,1.2,0.4138755980861244,2,1.6,3.2,1,5,4.1,1.6,8.092485549132948e-05,4,2.8,3.5,2.7
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.32947976878612717,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,3.9,9.947368421052632e-05,5,4.5,3.7,3.2
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.5,0.4166666666666667,2.1,2.8,3.4,0.06175,2.1,2.8,4.1,0.00017525,5,4.6,3.9,3.4
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,3.1,0.021066666666666668,0.7,1.9,4.7,0.00027866666666666665,5,4.9,3.8,3.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0,0.05789835839968544,0.2,0.1,0.4,0.1,0.06112054329371817,0.3,0.2,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.5,1.1033468186833394e-05,0.6,1.6,1.7,3.3
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.3,0.029704338214976513,1,2.2,3.7,5.4987565625863496e-05,2.7,3.2,2.7,2.7
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.9,0.06388888888888888,2.1,2.5,3.6,0.00018777777777777779,5,4.3,3.5,2.7
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010516448120304969,0,1.95,2,x,x,x,x,x,x,x,x,2.5,x,x,2.5,2.5,2.5
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1.110193974411886,5,5,4.7,3.8,0.1273124863328231,0.6,2.1999999999999997,5,1.4623840604603229,5,5,4.5,0.00024613534867743043,5,4.8,4.9,3.9
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5569811320754716,5,5,4.5,0.00027037735849056604,5,4.8,4.9,3.9
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08898968502486646,0.4,1.5,2.4,0.12514869753101407,0.6,1.5,1.5,2,0.10126091173617847,0.5,1.25,3.5,0.5019157088122606,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.11111849317343786,0.5,1.65,1.7,1.6,0.04304932735426009,0.2,0.9,3.5,1,5,4.3,4.3,0.0034895833333333333,5,4.7,4.5,3.2
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.6,0.45056104170076566,2.2,3.4,4.1,4.8,1,5,4.9,4.1,0.03144298688193744,1,2.6,x,x,x,x,2.6,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.02087766199283467,0.1,0.15000000000000002,0.8,2.1,0.5130662020905923,2.5,2.3,4,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.6,0.4489061050793824,2.2,3.4,4.1,4.8,1,5,4.9,x,x,x,x,x,x,x,x,x,4.9
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,4.5,0.24511687479987193,5,4.8,0,0,0,0,3.2,3.7
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9227360023637169,4.6,4.199999999999999,x,x,x,x,0,0,0,0,0,2.7
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.22918180497020782,5,4.8,4.3,0.00014852492370295015,5,4.7,4.8,4.6
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10855980235430897,0.5,1.4,4.1,1,5,4.6,4.3,0.0013453815261044177,5,4.7,4.7,3.5
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0.7,1.3540350243726306e-07,0,0.4,0.2,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.00055577610162763,0,0,1.9,1,5,3.5,3.1,0.007285714285714286,5,4.1,3.8,2.3
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.06322505800464037,0.3,0.15,0.2,0.9,0.5,2.5,1.7,2.9,1,5,4,0,0,0,0,2.5,2.1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2805063458487573,1.4,2.25,2.6,4,1,5,4.5,2.9,0.013550135501355014,0.5,1.7,1.8,2.0030635088959585e-06,0.1,1,1.4,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.6,0.20590957165520887,1,1.8,2.1,3.6,0.6913322632423756,3.4,3.5,1.3,0.0018574413745066172,0.1,0.7,x,x,x,x,0.7,2.3
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2805063458487573,1.4,2.25,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014026359143327841,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.02032981530343008,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9642525377066901,4.8,4.9,4.8,1.4,0.0019968295951165254,0,0.7,3.4,1,5,4.2,4.2,0.0035482456140350878,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.11674418604651163,3.9,4.2,4.7,0.00014806201550387598,5,4.9,4.6,4.2
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9802669345579793,4.9,4.95,5,0.053692994656320915,1.8,3.4,5,0.00013930166166459262,5,5,4.4,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.062284730195177954,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.37442396313364057,5,4.7,2.9,2.880184331797235e-05,1.4,2.2,3.7,4
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08741747990815155,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.02011081469320747,0.7,1.8,3.8,9.665503796429305e-05,4.8,4.3,3.3,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8502977898966705,4.2,4.6,4.4,5,0.9767927593409144,4.9,4.95,4.6,0.03317566254130759,1.1,2.9,5,0.00014894490161774553,5,5,4.2,4.6
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,3.8,0.27462638574140996,1.3,2.55,3.4,0.19092637772675086,0.9,2.15,2.4,2,0.046979235178051304,0.2,1.1,x,x,x,x,3.1,0.00029,5,4.1,4.1,2.9
Dzud in Mongolia,Other seasonal event,MNG002,Mongolia,MNG,5,0.8110404490331883,4,4.5,0,0.272442915233031,1.3,0.65,3.1,2.2,0.7898966704936854,3.9,3.05,x,x,x,x,0,1.4534883720930232e-06,0.1,0.1,0.1,1.8
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,4.3,0.38001482579688656,1.9,3.0999999999999996,4.3,0.08528401997503121,2.8,3.6,3.8,3.323970037453183e-05,1.7,2.8,3.2,3.2
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.34348406226834693,1.7,2.6,2.8,4.3,1,5,4.65,4.3,0.08943370165745856,3,3.7,3.4,2.0113950276243093e-05,1,2.2,3,4
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.02929754062921234,0,1.15,1.7,0.09909562638991846,0.4,1.05,1.1,0,0.009575104727707959,0,0,1.8,0.53125,5,3.4,1.4,0.0003125,5,3.2,3.3,2
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5344699777613047,2.6,3.4000000000000004,3.8,2.6,0.06657420249653259,0.3,1.45,2.3,0.03333333333333333,1.1,1.7,3.2,0.0001525,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.41818181818181815,2.1,1.55,2,3,1,5,4,2.7,0.040513833992094864,1.4,2.1,0,0,0,0,1.2,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.1,0.903099173553719,4.5,3.3,4.3,2.9,0.4102036147334706,2,2.45,x,x,x,x,0,0,0,0,0,1.4
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.4,1,5,4.7,4.4,4.3,0.600046992481203,3,3.65,4.1,0.05560341451953951,1.9,3,2,1.9578667084344896e-06,0.1,1.1,2.2,3
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.2924783898851761,1.4,2.25,4,0.2906925452139391,5,4.5,4,0.00029951477723864136,5,4.5,4.5,3.6
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018434093161546084,0.6,1.9,5,3.0844422200198216,5,5,3.9,4.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.6,0.42202541393916054,2.1,2.35,0,0,0,0,0,0,0,0,0,1.3
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,5,1.0002368358727403,5,5,4.7,1,5,4.85,4.9,4.2,0.38076923076923075,1.9,3.05,4.1,0.07101010101010101,2.4,3.3,3.7,3.919191919191919e-05,2,2.9,3.1,3.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.02519230769230769,0.1,0.05,1.2,2.2,1,5,3.6,3.6,0.48091603053435117,5,4.3,3.1,0.00022442748091603055,5,4.1,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,2.6,0.2326923076923077,1.1,1.85,2.1,3.1,0.39834710743801655,2,2.55,3.6,0.12863070539419086,4.3,4,3.3,7.925311203319503e-05,4,3.7,3.9,3.3
Nigerian Refugees,Displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,2.1,0.16765384615384615,0.8,1.4500000000000002,1.1,2.5,0.21954576737783896,1.1,1.8,2.6,0.06792058516196448,2.3,2.5,1.8,1.9853709508881922e-05,1,1.4,2,1.9
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,1,5,5,5,4.8,0.10370745297935526,0.5,2.65,5,0.26363754157128666,5,5,5,0.0002127586057962251,5,5,5,4.1
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4,0.06957129355484584,0.3,2.15,2.2,3.1,0.13913211434457892,0.7,1.9,3.9,0.2688570106432207,5,4.5,3.9,0.00024248033317908376,5,4.5,4.5,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.0721154922890174,0.3,2.15,2.2,4.5,1,5,4.75,5,0.2959627329192547,5,5,4.6,0.00010590062111801242,5,4.8,4.9,4.8
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.1860266155438001,0.9,2.95,2.8,3.6,0.1151669836989237,0.5,2.05,4,0.13568889818105792,4.5,4.3,4.7,0.00039284967593560525,5,4.9,4.6,3.6
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.4,0.11953511863587953,0.5,1.95,3.7,0.056774153090887916,0.2,1.9500000000000002,2,0.9,0.008599605522682446,0,0.45,2.9,1,5,4,x,x,x,x,4,2.6
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.6,1,5,3.8,4,1.3,0.032252862441541685,0.1,0.7000000000000001,3.3,1,5,4.2,1.2,3.5e-05,1.8,1.5,3.1,2.1
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.21900155654688627,1.1,3.05,5,0.07463795731707316,2.5,3.8,4.3,1.8235518292682925e-05,0.9,2.6,3.3,3.2
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.1,0.01819866212082643,0,1.05,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0
