,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mutliple crises in Bangladesh,Multiple crises country,BGD001,Bangladesh,BGD,2.7,0.3208189290927249,1.5,2.1,5,0.3084387595815568,1.5,3.25,2.7,4.1,0.16374589266155531,0.8,2.4499999999999997,4.3,0.11244377811094453,3.7,4,3,1.4531195940491293e-05,0.7,1.9,3.1,2.8
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0.005611584850580011,0,0,0.6,0.008568066913632022,0,0.3,0.2,2.8,1,5,3.9,4.2,0.6322229775662814,5,4.6,1,3.399048266485384e-06,0.2,0.6,3.2,3.6
2022 Floods in Bangladesh,Flood,BGD008,Bangladesh,BGD,2.7,0.3152108780825075,1.5,2.1,5,0.29987069266792477,1.5,3.25,2.7,3.9,0.13985198997727405,0.7,2.3,2.4,0.00625,0.2,1.3,3,1.6805555555555555e-05,0.8,1.9,1.6,2
Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,5,1,5,5,5,0.8431075596024777,4.2,4.6,4.8,2.3,0.004496287494630674,0,1.15,4.3,1.182382133995037,5,4.7,5,0.003946650124069479,5,5,4.9,3.6
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,5,0.28670720997733945,1.4,3.2,5,0.382481175070667,1.9,3.45,3.3,2,0.0060377265684562606,0,1,3.2,0.3645621181262729,5,4.1,x,x,x,x,4.1,2.9
Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,4.2,0.037687810924440124,0.1,2.15,5,0.460631087824586,2.3,3.65,3,1.7,0.003216320529314464,0,0.85,2.6,0.2222222222222222,5,3.8,3,0.0004,5,4,3.9,2.7
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,4.7,1.0000321037593503,5,4.85,2.2,1,5,3.6,4.3,3.3,0.6590136054421769,3.3,3.3,4.5,0.42838709677419357,5,4.8,4.2,0.0003,5,4.6,4.7,4.1
Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.3,0.6094371207365558,3,3.65,3.9,0.048240343347639485,1.6,2.8,1.6,1.201716738197425e-06,0.1,0.9,2,2.9
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,4.4,0.9321571365107572,4.7,4.550000000000001,4.8,1,5,4.9,4.7,4.4,0.49894927536231887,2.5,3.45,4.7,0.14116621886573233,4.7,4.7,3.7,2.643235785346017e-05,1.3,2.5,3.8,3.6
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,1.9,0.13778985507246377,0.6,1.25,1.4,2.7,0.3276360767814883,1.6,2.1500000000000004,4,0.5,5,4.5,3.3,0.0001669341894060995,5,4.2,4.4,3.5
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.1882866873981934,0.9,2.0500000000000003,3.8,0.48818840579710143,2.4,3.0999999999999996,2.6,3,0.1509573994359507,0.7,1.85,4.3,0.47885939036381514,5,4.7,3.4,0.0001248770894788594,5,4.2,4.5,3.5
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,3.8,0.4271794546339193,2.1,2.95,2.5,0.205,1,1.75,2.4,2,0.0839519264757865,0.4,1.2,3.6,0.7305263157894737,5,4.3,1.8,3.578947368421053e-05,1.8,1.8,3.3,2.4
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,5,0.999999117796255,5,5,5,1,5,5,5,4.8,0.2401129943502825,1.2,3,5,0.39619607843137256,5,5,5,0.00012984313725490195,5,5,5,4.2
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,4.2,0.9487554904831625,4.7,4.45,0,0.11870242841609278,0.5,0.25,3,1.6,0.42748091603053434,2.1,1.85,3,0.48214285714285715,5,4,x,x,x,x,4,3.1
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,5,1.0047318611987381,5,5,5,1,5,5,5,4.2,0.21764705882352942,1,2.6,3.8,0.0409009009009009,1.4,2.6,3.6,2.8018018018018018e-05,1.4,2.5,2.6,2.6
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,3.5,0.12019648490310951,0.5,2,4.5,0.4502549019607843,2.2,3.35,2.7,3.7,0.23995122588511955,1.2,2.45,4.8,0.4497277676950998,5,4.9,3.7,6.660617059891108e-05,3.3,3.5,4.3,3.5
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.4,0.2003530450132392,1,1.2,3.2,0.7929515418502202,5,4.1,x,x,x,x,4.1,3
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5557476231633535,2.8,2.5,2.2,0.05598755832037325,1.9,2.1,0.7,4.665629860031104e-06,0.2,0.5,1.4,2
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5885911840968021,2.9,1.45,1.5,0.1,0.05286343612334802,0.2,0.15000000000000002,2.2,1,5,3.6,0.7,8.333333333333333e-05,4.2,2.5,3.1,1.9
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.1,0.5246326707000865,2.6,2.35,x,x,x,x,x,x,x,x,x,2.35
Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9440142942227516,4.7,4.4,2.9,0.012092534174553101,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005833630210188814,0,0.75,3.5,1,5,4.3,2.6,0.00024427480916030533,5,3.8,4.1,2.8
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.0049652654079088,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,0,0,0,0,2.6,2.6
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,0.9804951905949412,4.9,4.95,5,x,x,x,x,x,x,x,x,3.1,x,x,3.1,3.1,3.1
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.47066825369835064,2.3,3.15,4.1,0.09670038535645473,3.2,3.7,0.9,4.816955684007707e-07,0,0.5,2.4,2.8
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12728927004603313,0.6,2.1999999999999997,2,1.1,0.01019108280254777,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,2.6,1,5,3.8,4,2.6,0.19326783701079078,0.9,1.75,3.6,0.2675,5,4.3,x,x,x,x,4.3,3.3
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.2548256865301316,1.2,2.4,2.3,1,0.010809472728773,0,0.5,3,1,5,4,2.8,0.0007480916030534351,5,3.9,4,2.7
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1.063652,5,5,5,0.8577336641852771,4.3,4.65,4.8,5,1,5,5,5,0.06506268081002893,2.2,3.6,4.4,1.1861137897782064e-05,0.6,2.5,3.1,4.3
International Displacement,International displacement,ETH003,Ethiopia,ETH,5,1.063652,5,5,5,0.8577336641852771,4.3,4.65,4.8,4.6,0.17068466730954676,0.8,2.6999999999999997,4.2,0.049209039548022596,1.6,2.9,1.8,1.016949152542373e-06,0.1,1,2.1,2.4
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,4.2,0.311484,1.5,2.85,4.9,0.2522746071133168,1.2,3.0500000000000003,3,5,1,5,5,4.9,0.08232786885245902,2.7,3.8,3.6,1.1311475409836065e-05,0.6,2.1,3.1,4.3
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.7,0.61819,3.1,3.9000000000000004,5,0.5169561621174524,2.6,3.8,3.9,4,0.1296,0.6,2.3,3.7,0.05098765432098765,1.7,2.7,0,0,0,0,1.5,1.9
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.037730652712751306,0.1,0.05,0.3,1.2,0.40389294403892945,2,1.6,3.2,1,5,4.1,2.1,0.00016867469879518071,5,3.6,3.9,2.9
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,3.9,8.929824561403509e-05,4.5,4.2,3.4,3.1
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,2.7,0.02,0.7,1.7,3.9,0.0001395,5,4.5,3.4,3.1
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,2.8,0.010731707317073172,0.4,1.6,4.8,0.000286219512195122,5,4.9,3.7,3.8
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.7,0.021739130434782608,0.7,1.2,4.8,0.0032579710144927535,5,4.9,3.6,2.6
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,0.7,0.15993181590293792,0.8,0.75,0.8,2.5,0.6532915360501568,3.2,2.85,4.3,1,5,4.7,0,0,0,0,3.1,3
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.3,6.9878631849944835e-06,0.3,1.3,1.6,3.3
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.3,x,x,3.3,3.3,3.3
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.3,0.11602143173669581,0.5,1.9,4.9,1,5,5,x,x,x,x,5,3.9
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.137766167192429,0.6,2.15,5,1.521824686940966,5,5,4.7,0.00037245080500894457,5,4.9,5,4
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5545283018867924,5,5,4.7,0.0003928301886792453,5,4.9,5,4
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12502731179141074,0.6,1.5,1.5,2,0.10135922330097087,0.5,1.25,3.5,0.5038314176245211,5,4.3,x,x,x,x,4.3,3.1
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.7,0.11025398563347102,0.5,1.6,1.6,1.2,0.025428829371050257,0.1,0.65,3.2,1,5,4.1,4.2,0.004899408284023668,5,4.6,4.4,3
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.30439040022788777,1.5,2.8,3.8,4.4,0.843715271685091,4.2,4.300000000000001,3.9,0.03826689774696707,1.3,2.6,0.7,2.0797227036395148e-07,0,0.4,1.6,3.2
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.023002421307506054,0.1,0.25,0.9,2.1,0.42724458204334365,2.1,2.1,3.9,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.29961900014242987,1.5,2.8,3.8,4.4,0.8243508229841345,4.1,4.25,x,x,x,x,0.7,2.162473870107403e-07,0,0.4,0.4,2.8
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,4.5,0.24339382362304998,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,x,x,x,x,1.8,2.7061445399554283e-06,0.1,1,1,3
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,3,1,5,4,4.6,3.5,0.46,2.3,2.9,4.6,0.40641569459172855,5,4.8,4.2,0.00023806998939554614,5,4.6,4.7,4
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.2,0.08451219512195123,0.4,1.3,4.1,1,5,4.6,4.2,0.0012626262626262627,5,4.6,4.6,3.4
Socio-economic crisis in Sri Lanka,Political and economic crisis,LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,1.3,3.6107600649936813e-07,0,0.7,0.4,3.4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.7028571428571428,3.5,2.05,3,2.4,0.5867208672086721,2.9,2.65,x,x,x,x,0,0,0,0,0,1.5
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005605680422828466,0,0,1.9,1,5,3.5,2.8,0.004666666666666667,5,3.9,3.7,2.3
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.2010372178157413,1,0.5,0.4,2.1,0.8330804248861912,4.2,3.1500000000000004,3.9,1,5,4.5,0,0,0,0,2.9,3
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,4.6,1,5,4.8,4.8,0.9244359228951964,4.6,4.699999999999999,4.8,3.6,0.167,0.8,2.2,2,0.005544466622310933,0.2,1.1,3.4,5.744067420714127e-05,2.9,3.2,2.3,2.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.21734515698291507,1,1.85,2.1,3.4,0.5590737240075614,2.8,3.0999999999999996,0.7,0.0008453085376162299,0,0.4,0,0,0,0,0.2,1.9
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,4.6,1,5,4.8,4.8,0.9244359228951964,4.6,4.699999999999999,4.8,2.5,0.035555555555555556,0.1,1.3,1.9,0.022916666666666665,0.8,1.4,3.3,0.00021458333333333334,5,4.2,3.1,2.3
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2,0.004509601905180131,0,1,3.9,1,5,4.5,5,0.01606928838951311,5,5,4.8,3.5
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.020831134564643798,5,5,4.7,3.4
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.962394649281335,4.8,4.9,4.8,1.2,0.0013601144251103449,0,0.6,3.1,1,5,4.1,4.1,0.004425806451612903,5,4.6,4.4,3
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.4,0.9597630331753555,4.8,4.6,4.8,3.8,0.3110957483581058,1.5,2.65,4.5,0.21587301587301588,5,4.8,5,0.0005136507936507937,5,5,4.9,4
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.7,1.0130121883995835,5,4.85,5,1,5,5,4.9,5,0.627899461400359,3.1,4.05,4.8,0.0626179447589638,2.1,3.5,5,0.0003311602905015154,5,5,4.4,4.2
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.7,0.06240429962638574,0.2,1.4500000000000002,2,0.06919210053859964,0.3,1.15,1.3,2.8,0.40295796574987025,2,2.4,4.4,0.8132646490663232,5,4.7,2.3,2.6400515132002577e-05,1.3,1.8,3.6,3.1
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.15068222621184918,0.7,1.9,2.4,4,1,5,4.5,2.9,0.01215298463004885,0.4,1.7,3.9,6.815203145478375e-05,3.4,3.7,2.8,3.8
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,4.3,0.5817924297176457,2.9,3.5999999999999996,5,0.7801256732495512,3.9,4.45,4.1,5,0.7002508457413757,3.5,4.25,4.2,0.027113185224135663,0.9,2.6,5,0.00036049033784672015,5,5,4.1,4.2
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,4.6,0.6997418550827844,3.5,4.05,4.4,0.7067770771256323,3.5,3.95,4,4.2,0.5336045884602186,2.6,3.4000000000000004,4.3,0.08755167661920074,2.9,3.6,3.9,5.043638033991732e-05,2.5,3.2,3.4,3.4
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.35693992100339544,1.8,2.6,2.8,4.2,1,5,4.6,4.3,0.09192389827218016,3.1,3.7,3.7,3.950689186565716e-05,2,2.9,3.3,4
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,4.5,0.5995638241053943,3,3.75,4.2,0.6259441480146906,3.1,3.6500000000000004,3.7,2.5,0.05651500055352596,0.2,1.35,1.1,0.005876591576885406,0.2,0.7,3.1,0.00013907933398628794,5,4.1,2.8,2.1
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,0.6,0.31940046442896347,1.6,1.1,1.8,2.8,1,5,3.9,2.8,0.056179775280898875,1.9,2.4,0,0,0,0,1.3,2.8
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,0.9202026599113363,4.6,3.3499999999999996,4.3,3.1,0.5308557008488185,2.6,2.85,x,x,x,x,0,0,0,0,0,1.6
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,2.5,0.051753881541115584,0.2,1.35,3.3,0.1919191919191919,5,4.2,2.7,7.373737373737373e-05,3.7,3.2,3.7,2.7
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,1.9,0.024352941176470588,0.1,1,2.7,0.18840579710144928,5,3.9,2.2,7.729468599033817e-05,3.9,3.1,3.5,2.5
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,1.1,5.946481665014866e-07,0,0.6,1.3,3.4
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,4.9,1.001217068104799,5,4.95,1.4,0.9937670432411375,5,3.2,4.3,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.6,0.17718367346938776,0.8,2.2,4,0.13706519235199263,4.6,4.3,3.9,0.00011541119557705598,5,4.5,4.4,3.5
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03873469387755102,0.1,0.05,1.2,1.6,0.3087460484720759,1.5,1.55,3.4,0.8088737201365188,5,4.2,3,0.00041979522184300343,5,4,4.1,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.34285714285714286,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.4,0.16519174041297935,5,4.2,3.8,0.00034808259587020647,5,4.4,4.3,3.3
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05420408163265306,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,3.2,0.265625,5,4.1,1.7,2.2727272727272726e-05,1.1,1.4,3,2.7
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,1,5,5,5,4.7,0.10781992820413311,0.5,2.6,5,0.24939260325744622,5,5,5,0.00024214883469810133,5,5,5,4.1
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,4,0.07534685165421558,0.3,2.15,2.3,2.8,0.0950296162760752,0.4,1.5999999999999999,3.8,0.3353658536585366,5,4.4,3.9,0.00035501355013550133,5,4.5,4.5,3.4
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3.9,0.07087901426215193,0.3,2.1,2.2,4.4,1,5,4.7,5,0.30538635274792963,5,5,4.4,7.850249811785641e-05,3.9,4.2,4.6,4.7
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.17266420879014263,0.8,2.9,2.8,3.8,0.17028629224847583,0.8,2.3,3.9,0.08364956277841941,2.8,3.4,4.9,0.0004642798218115822,5,5,4.4,3.5
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.11933638569562019,0.5,1.95,3.7,0.06148733870185311,0.3,2,2,0.7,0.006153846153846154,0,0.35,2.7,1,5,3.9,x,x,x,x,3.9,2.5
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.6,1,5,3.8,4,1.1,0.024189646831156264,0.1,0.6000000000000001,3.1,1,5,4.1,2.1,0.0002,5,3.6,3.9,2.6
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.29998387722287345,1.5,3.25,5,0.31462893830890576,5,5,4.2,1.2811760091803088e-05,0.6,2.4,4.1,3.7
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.2,0.01939090762520208,0,1.1,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0
Floods in Pakistan ,Flood,PAK005,Pakistan,PAK,4.6,0.7298477065172271,3.6,4.1,5,0.3954612203635033,1.9,3.45,3.8,1.4,0.0024020979791524342,0,0.7,0.7,0.013761467889908258,0.5,0.6,3.6,0.0014311926605504587,5,4.3,2.9,1.9
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,3.1,0.9978073715361852,5,4.05,0,0.02702702702702703,0.1,0.05,2.6,0.8,0.7868852459016393,3.9,2.35,3,1.2708333333333333,5,4,2.6,0.0006354166666666666,5,3.8,3.9,3.2
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,5,1,5,5,5,1,5,5,5,4.2,0.30219730807278394,1.5,2.85,4.6,0.15573851800416624,5,4.8,0.9,3.9678603313163374e-07,0,0.5,3.4,3.1
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,3.9,0.7798721534694973,3.9,3.9,5,0.41193950455366724,2,3.5,3.7,4.3,0.27017700100189246,1.3,2.8,2.9,0.009476720230737536,0.3,1.6,3.3,1.7717346518335395e-05,0.9,2.1,1.9,2.4
Mindanao conflict,Conflict,PHL003,Philippines,PHL,3.6,0.46401046382935907,2.3,2.95,4.7,0.24077114268157346,1.2,2.95,3,0.9,0.004228249276245619,0,0.45,2.9,1,5,4,3.3,0.0019369369369369369,5,4.2,4.1,2.7
