,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,
Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,5,0.16488082276678784,0.7,2.85,5,0.17916976426293196,0.9,2.95,2.9,2.5,0.02727808116500696,0.1,1.3,3.7,0.35328753680078506,5,4.4,2.1,3.042198233562316e-05,1.5,1.8,3.4,2.5,
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,3.9,0.026833003515136143,0,1.95,0,0.003131969591596921,0,0,1.1,1.8,0.5834609494640123,2.9,2.35,3.8,1.2860892388451444,5,4.4,0,0,0,0,2.8,2.6,
Floods in Bahia and Minas Gerais,Flood,BRA003,Brazil,BRA,5,0.1380478192516517,0.6,2.8,5,0.17291062135782634,0.8,2.9,2.9,2.2,0.01769715125794014,0,1.1,2.8,0.15047021943573669,5,3.9,2.1,4.858934169278997e-05,2.4,2.3,3.2,2.3,
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,4.7,1.0000321037593503,5,4.85,2.3,1,5,3.65,4.3,3.7,1,5,4.35,4.6,0.3177551020408163,5,4.8,4.1,0.00014448979591836735,5,4.6,4.7,4.5,
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,4.4,0.9321571365107572,4.7,4.550000000000001,4.7,1,5,4.85,4.7,3.6,0.1678389240995517,0.8,2.2,4.7,0.4625834676490905,5,4.9,4,0.00015427124107759613,5,4.5,4.7,3.7,
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,1.6,0.12026588344411811,0.6,1.1,1.3,2.6,0.3856041131105398,1.9,2.25,3.9,0.48333333333333334,5,4.5,3.3,0.00017666666666666666,5,4.2,4.4,3.5,
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.1,0.16257324786867214,0.7,1.9,2.2,0.1729788220745092,0.8,1.5,1.7,3.1,0.5471403038427167,2.7,2.9000000000000004,4.4,0.4561045324622295,5,4.7,3.5,0.00011678236014699878,5,4.3,4.5,3.8,
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,3.7,0.3653466184341351,1.8,2.75,0.6,0.060480754366980985,0.3,0.44999999999999996,1.7,1.7,0.20191693290734825,1,1.35,3.6,1.0126582278481013,5,4.3,x,x,x,x,4.3,3.2,
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,5,0.999999117796255,5,5,4.8,0.2627916257068608,1.3,3.05,4.3,4.8,0.9444444444444444,4.7,4.75,5,0.3985490196078431,5,5,4.8,8.749019607843137e-05,4.4,4.6,4.8,4.8,
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,2.6,0.21432398642614753,1,1.8,3.5,0.24583333333333332,5,4.3,x,x,x,x,4.3,3.3,
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,3.9,0.13141153081510934,0.6,2.25,5,0.7446293494704992,5,5,3.4,3.903177004538578e-05,2,2.7,4.1,3.3,
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,3.4,0.10012888688598467,0.4,1.9,4.5,0.4375944333996024,2.2,3.35,2.7,3.8,0.26504929353505063,1.3,2.55,4.6,0.26516969489201236,5,4.8,x,x,x,x,4.8,3.9,
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.2,0.0972581276929103,0.4,0.8,0.8,0.33288435635943814,1.6,1.2000000000000002,1,0.7,0.04971098265895954,0.2,0.44999999999999996,2.8,1,5,3.9,0,0,0,0,2.4,1.5,
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.2,0.6041055718475073,3,2.6,2.2,0.05663430420711974,1.9,2.1,0,0,0,0,1.2,2,
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,0.1,0.03421309872922776,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3,
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0,1,5,2.5,3.1,2.1,0.5698924731182796,2.8,2.45,x,x,x,x,0,0,0,0,0,1.4,
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,4.2,x,x,4.2,4.2,4.2,
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.005174013921113689,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,0,0,0,0,2.6,2.6,
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1,5,5,5,x,x,x,x,x,x,x,x,4,x,x,4,4,4,
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,0.9,0.013887099371879529,0,0.45,2.5,0.366496025865553,1.8,2.15,1.4,2.2,0.11486859033265943,0.5,1.35,3.7,0.6656,5,4.4,0,1.6e-06,0.1,0.1,2.9,2.2,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,4.6,0.23209945411802207,1.1,2.8499999999999996,2.4,2.8,0.061759656652360516,0.3,1.5499999999999998,3.9,0.34954829742876997,5,4.5,0,0,0,0,2.9,2.3,
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,3.3,1,5,4.15,1.7,1,5,3.35,3.8,3.2,0.8001239541369694,4,3.6,3.6,0.12161115414407436,4.1,3.9,0,0,0,0,2.4,3.1,
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,3.3,0.18514224025909118,0.8,2.05,3.6,0.25454043375746116,1.2,2.4,2.2,0.9,0.009596928982725527,0,0.45,2.9,1,5,4,3,0.0011391304347826087,5,4,4,2.6,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1.063652,5,5,5,1,5,5,5,5,1,5,5,5,0.06282545805207329,2.1,3.6,5,0.00011081967213114754,5,5,4.4,4.7,
International Displacement,International displacement,ETH003,Ethiopia,ETH,5,1.063652,5,5,5,1,5,5,5,4.6,0.1711089681774349,0.8,2.6999999999999997,4.2,0.046438232642019836,1.5,2.9,0,0,0,0,1.7,2.2,
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,4.2,0.311484,1.5,2.85,4.9,0.29411764705882354,1.4,3.1500000000000004,3,5,1,5,5,4.8,0.07121311475409836,2.4,3.6,5,0.00023514754098360655,5,5,4.4,4.7,
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.03800605893693197,0.1,0.05,0.3,1.2,0.4082125603864734,2,1.6,3.2,1,5,4.1,1.3,4.7337278106508875e-05,2.4,1.9,3.2,2.5,
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1.0161347517730497,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,5,0.000519298245614035,5,5,4.1,3.5,
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1.0000893734918224,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,3.4,0.06125,2,2.7,4.7,0.00047725,5,4.9,4.1,3.5,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,0.9857039187227866,4.9,3.6500000000000004,3.5,1,5,4.25,4,3.9,0.6377316938887869,3.2,3.55,3.2,0.025899280575539568,0.9,2.1,4.8,0.0003176978417266187,5,4.9,3.9,3.7,
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5899247568361167,2.9,2.8,2.4,2.3,0.1244361487011977,0.6,1.45,3.1,0.2,5,4.1,4.8,0.00273625,5,4.9,4.5,3.4,
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.2296681883669966,1.1,2.75,1.9,0.015122761986913804,0,0.95,1.9,3.4,1,5,4.2,2.5,0.01669449081803005,0.6,1.6,2.3,1.1964385086254868e-05,0.6,1.5,1.6,3.2,
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2,
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.4,0.13696974580026589,0.6,2,5,1,5,5,0,0,0,0,3.5,2.8,
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.4,1.0016853932584269,5,4.7,5,1,5,5,4.9,3.8,0.15520380665679395,0.7,2.25,5,1.3284842796809009,5,5,4.4,0.00019364930392616925,5,4.7,4.9,3.9,
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.4,1.0016853932584269,5,4.7,5,1,5,5,4.9,3.8,0.14903741108494575,0.7,2.25,5,1.3420752565564424,5,5,4.4,0.00020166150838898844,5,4.7,4.9,3.9,
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12495448034764876,0.6,1.5,1.5,2,0.09442393627355741,0.4,1.2,3.4,0.5246913580246914,5,4.2,0,0,0,0,2.7,2,
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.10906319506011541,0.5,1.65,1.7,1.4,0.02966343411294923,0.1,0.75,3.3,1,5,4.2,4.1,0.0033461538461538464,5,4.6,4.4,3.1,
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.211070280202113,1,1.95,4.5,0.7170837867247007,5,4.8,0,0,0,0,3.2,2.6,
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.3113800025784113,1.5,2.8,3.8,3.4,0.2034660199917194,1,2.2,3.9,0.1569767441860465,5,4.5,0,0,0,0,2.9,2.6,
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.1,0.02024052894266718,0.1,0.1,0.8,2.1,0.4913557779799818,2.4,2.25,3.9,1,5,4.5,0,0,0,0,2.9,2.6,
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.30959353187100574,1.5,2.8,3.8,3.3,0.17251635930993456,0.8,2.05,0,0,0,0,0,0,0,0,0,1.1,
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.3,0.44366300366300365,2.2,2.75,4.5,0.5046235138705416,5,4.8,0,0,0,0,3.2,3,
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.5,0.5564835164835165,2.8,3.15,x,x,x,x,2.5,1.5271195365982096e-05,0.8,1.7,1.7,2.5,
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.9,0.24324324324324326,1.2,2.05,4.5,0.8455555555555555,5,4.8,4.2,0.0004994444444444444,5,4.6,4.7,3.7,
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,2.9,1,5,3.95,4.6,2.2,0.08567567567567567,0.4,1.3,4,1,5,4.5,4.2,0.0013391167192429022,5,4.6,4.6,3.4,
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.7028571428571428,3.5,2.05,3,2.4,0.5867208672086721,2.9,2.65,x,x,x,x,0,0,0,0,0,1.5,
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,0.9757348102654091,4.9,4.95,4.8,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2,
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,3.7,0.2864609831557236,1.4,2.55,4.2,0.6699259259259259,3.3,3.75,3.2,3.4,0.20228881026094647,1,2.2,2.7,0.020497403662202787,0.7,1.7,2.9,2.787646898059579e-05,1.4,2.2,2,2.1,
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.2351111111111111,1.1,1.9000000000000001,2.2,3.4,0.5590737240075614,2.8,3.0999999999999996,0.7,0.0008453085376162299,0,0.4,2.6,1.718794026486334e-05,0.9,1.8,1.1,2.2,
Tropical Cyclone Ana in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,3.8,0.3305001718803713,1.6,2.7,3.6,0.4348148148148148,2.1,2.85,2.8,0.9,0.009369676320272573,0,0.45,2.7,0.6545454545454545,5,3.9,2.3,0.00037272727272727273,5,3.7,3.8,2.5,
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,1.0105069574834744,5,5,5,1,5,5,5,1.7,0.002583979328165375,0,0.85,2.7,0.2554517133956386,5,3.9,3.5,0.0009376947040498442,5,4.3,4.1,2.8,
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,1.0105069574834744,5,5,5,1.038196205333784,5,5,5,1.8,0.002768042675929659,0,0.9,3.6,1,5,4.3,5,0.009675070028011204,5,5,4.7,3.4,
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,1.0105069574834744,5,5,5,1,5,5,5,1.7,0.002583979328165375,0,0.85,2.7,0.2554517133956386,5,3.9,3.5,0.0009376947040498442,5,4.3,4.1,2.8,
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.4,1,5,4.7,4.9,4.3,0.5740613665326929,2.8,3.55,4.4,0.09733606557377049,3.2,3.8,4.2,7.564890710382514e-05,3.8,4,3.9,3.7,
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.7,1.060683224107307,5,4.85,5,1,5,5,4.9,4.7,0.3785376500545653,1.9,3.3,4.7,0.09062079569479146,3,3.9,5,0.00041014799154334036,5,5,4.5,4,
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.8,0.06868530654743676,0.2,1.5,1.9,0.06655147326300473,0.3,1.0999999999999999,1.3,3.2,0.6993714129543591,3.5,3.35,4.5,0.538882375928097,5,4.8,1.4,3.907776475185619e-06,0.2,0.8,3.4,3.4,
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.1526555110949436,0.7,1.9,2.4,4,1,5,4.5,2.9,0.01274871917073752,0.4,1.7,4.1,9.078994400095317e-05,4.5,4.3,3.3,4,
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,4.3,0.6170928523304955,3,3.65,5,0.7807930156420516,3.9,4.45,4.1,4.2,0.2296869176295192,1.1,2.6500000000000004,3.7,0.04056795131845842,1.4,2.6,5,0.0007802231237322515,5,5,4.1,3.5,
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,4.6,0.6997418550827844,3.5,4.05,4.4,0.7067770771256323,3.5,3.95,4,4.2,0.5107113093779106,2.5,3.35,4.1,0.07583029372240353,2.5,3.3,3.8,4.7417930504895375e-05,2.4,3.1,3.2,3.3,
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.35693992100339544,1.8,2.6,2.8,4.2,1,5,4.6,4.1,0.07231605513492526,2.4,3.3,3.8,4.552514074936906e-05,2.3,3.1,3.2,4,
Tropical Cyclone Ana in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,4.2,0.44337088939189706,2.2,3.2,4,0.5612916637793639,2.8,3.4,3.3,1.1,0.008703703703703703,0,0.55,2.4,0.3191489361702128,5,3.7,2,0.0001773049645390071,5,3.5,3.6,2.4,
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.02281460134486071,0.1,0.05,0,0.7,0.8947368421052632,4.5,2.6,2.8,1,5,3.9,0,0,0,0,2.4,2.5,
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,3.6,1.0883765609990395,5,4.3,x,x,x,x,0,0,0,0,0,2.8,
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,3.7,0.28313032568351715,1.4,2.55,2.7,0.014401772525849335,0.5,1.6,2.2,5.908419497784342e-06,0.3,1.3,1.5,2.1,
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,1.9,0.024352941176470588,0.1,1,2.7,0.18840579710144928,5,3.9,2.2,7.729468599033817e-05,3.9,3.1,3.5,2.5,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,1.6,0.028595343174554862,0,0.8,1.9,0.1251435132032147,0.6,1.25,1,1.3,0.047182175622542594,0.2,0.75,3.2,1,5,4.1,0,0,0,0,2.6,1.8,
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,4.9,1.001217068104799,5,4.95,1.4,1.003935458480913,5,3.2,4.3,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7,
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16310924369747898,0.8,2.15,3.9,0.14554353426069036,4.9,4.4,4,0.00015558990211231324,5,4.5,4.5,3.6,
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03987394957983193,0.2,0.1,1.2,1.6,0.3087460484720759,1.5,1.55,3.4,0.8293515358361775,5,4.2,3.1,0.0005051194539249146,5,4.1,4.2,3.1,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.35294117647058826,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.3,0.14896755162241887,5,4.2,3.7,0.00030604719764011797,5,4.4,4.3,3.3,
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05579831932773109,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,3.2,0.265625,5,4.1,1.7,2.2727272727272726e-05,1.1,1.4,3,2.7,
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,0.3826605760235664,1.9,3.45,4.3,4.6,0.2318695465598627,1.1,2.8499999999999996,5,0.297347316471314,5,5,5,0.000212551174920083,5,5,5,4.2,
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,4,0.07728747437351964,0.3,2.15,2.3,2.5,0.06322431109966521,0.3,1.4,3.7,0.3869653767820774,5,4.4,3.9,0.0005081466395112016,5,4.5,4.5,3.3,
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3.7,0.06518580442268267,0.3,2,2.1,4.4,1,5,4.7,5,0.3335114503816794,5,5,4.2,6.389312977099237e-05,3.2,3.7,4.5,4.6,
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.17711132342111024,0.8,2.9,2.8,3.4,0.1033630208187003,0.5,1.95,3.8,0.13182930144060886,4.4,4.1,4.8,0.0006670290839902147,5,4.9,4.5,3.5,
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.11933638569562019,0.5,1.95,3.7,0.06307099779064908,0.3,2,2,0.6,0.00544378698224852,0,0.3,2.6,1,5,3.8,0,0,0,0,2.3,1.4,
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9999961774970915,5,4.25,2.7,1,5,3.85,4.1,1.9,0.06471135940409684,0.3,1.0999999999999999,2.9,0.2446043165467626,5,4,0.7,7.1942446043165465e-06,0.4,0.6,2.7,2,
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.29998387722287345,1.5,3.25,5,0.31462893830890576,5,5,4,8.686431445462865e-06,0.4,2.2,4,3.7,
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.2,0.01939090762520208,0,1.1,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0,
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,3.9,0.1602296875,0.7,2.3,0.1,0.031818181818181815,0.1,0.1,1.3,2.3,0.679047619047619,3.4,2.8499999999999996,4.3,1.4726507713884993,5,4.7,x,x,x,x,4.7,4,
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,3.9,0.7798721534694973,3.9,3.9,5,0.41193950455366724,2,3.5,3.7,4.1,0.21309139485695203,1,2.55,3.5,0.029150558980252848,1,2.3,3.8,4.868874725733988e-05,2.4,3.1,2.7,2.6,
Mindanao conflict,Conflict,PHL003,Philippines,PHL,3.6,0.46401046382935907,2.3,2.95,4.7,0.24077114268157346,1.2,2.95,3,0.9,0.004456803291177815,0,0.45,3,1,5,4,2.6,0.0005213675213675213,5,3.8,3.9,2.6,
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,3.8,0.6569525103129087,3.2,3.5,4.2,0.1711591903368705,0.8,2.5,3,4.1,0.5065909334476476,2.5,3.3,3.2,0.01713560397715253,0.6,1.9,3.7,4.283900994288132e-05,2.1,2.9,2.4,2.9,
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.8,1,5,4.9,2.2,0.0013247097327203305,0,1.1,0,3.896205096236266e-08,0,0,0.6,3.5,
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,1.3,1.0008305647840532,5,3.15,2.4,1,5,3.7,3.4,3.6,0.8799253034547152,4.4,4,5,1.358446519524618,5,5,2.2,7.852292020373515e-06,0.4,1.3,3.8,3.9,
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",4.3,0.09438888007817096,0.4,2.35,4.3,0.07185617547310208,0.3,2.3,2.3,4.4,0.6860071811416975,3.4,3.9000000000000004,5,0.3912614731093074,5,5,4.7,0.00013904270651596753,5,4.9,5,4.5,
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",5,0.12274879283154846,0.5,2.75,5,0.21593642687849826,1,3,2.9,5,0.48263969672501333,2.4,3.7,5,0.15434129189587706,5,5,x,x,x,x,5,4.5,
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",4,0.06290827895845964,0.2,2.1,4.1,0.010877929793786052,0,2.05,2.1,4.6,1,5,4.8,x,x,x,x,3.2,1.0652698487434523e-05,0.5,1.9,1.9,3.7,
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",4.4,0.1850062851525358,0.8,2.6,5,0.42068325608685564,2.1,3.55,3.1,5,0.3896595344411889,1.9,3.45,5,0.6321587125416204,5,5,4.9,7.724750277469479e-05,3.9,4.4,4.7,4.2,
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",3.8,0.2012932233759585,0.9,2.35,5,0.3994833181059198,2,3.5,3,4.3,0.3347528916929548,1.6,2.95,5,0.3324956808544055,5,5,1.9,1.8061881576880793e-06,0.1,1,3.7,3.3,
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,4,4,4,
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2,
