Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
Cameroon,Multiple crises in Cameroon,CMR001,CMR,Africa,Multiple crises country,Country level,Yes,Aggregated,Severe humanitarian conditions - Level 4,,
Cameroon,Boko Haram in Cameroon,CMR002,CMR,Africa,Conflict,Boko Haram,No,Individual,Extreme humanitarian conditions - Level 5,,
Cameroon,Anglophone Crisis in Cameroon,CMR003,CMR,Africa,Conflict,Anglophone crisis,No,Individual,Fatalities in all crises,,
Cameroon,CAR refugees in Cameroon,CMR004,CMR,Africa,International displacement,CAR refugees,No,Individual,Crisis affected groups,,
DRC,Complex crisis in DRC,COD001,COD,Africa,Complex crisis,Complex crisis,Yes,Individual,People facing limited access constraints,,
Congo,Complex crisis in Congo,COG001,COG,Africa,Complex crisis,Complex crisis,Yes,Individual,People facing restricted access constraints,,
Colombia,Complex crisis in Colombia,COL001,COL,Americas,Complex crisis,Complex crisis,Yes,Individual,Impediments to entry into country (bureaucratic and administrative),,
Colombia,Venezuela displacement in Colombia,COL002,COL,Americas,International displacement,Venezuelan refugees ,No,Individual,Restriction of movement (impediments to freedom of movement and/or administrative restrictions),,
Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,CRI,Americas,International displacement,Nicaraguan refugees,Yes,Individual,Interference into implementation of humanitarian activities,,
Djibouti,Multiple crises in Djibouti,DJI001,DJI,Africa,Multiple crises country,Country level,Yes,Aggregated,"Violence against personnel, facilities and assets",,
Djibouti,Mixed migration in Djibouti,DJI002,DJI,Africa,International displacement,Mixed Migration,No,Individual,Denial of existence of humanitarian needs or entitlements to assistance,,
Djibouti,Drought in Djibouti,DJI003,DJI,Africa,Drought,Drought,No,Individual,Restriction and obstruction of access to services and assistance,,
Dominican Republic,Venezuela displacement in Dominican Republic,DOM002,DOM,Americas,International displacement,Venezuelan refugees ,Yes,Individual,Ongoing insecurity/hostilities affecting humanitarian assistance,,
Algeria,Mixed migration flows in Algeria,DZA002,DZA,Africa,International displacement,Mixed Migration,No,Individual,Presence of mines and improvised explosive devices,,
Algeria,Sahrawi refugees in Algeria,DZA003,DZA,Africa,International displacement,Sahrawi refugees,No,Individual,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",,
Algeria,Multiple crises in Algeria,DZA004,DZA,Africa,Multiple crises country,Country level,Yes,Aggregated,,,
Ecuador,Venezuela displacement in Ecuador,ECU002,ECU,Americas,International displacement,Venezuelan refugees ,Yes,Individual,,,
Egypt,Syrian Refugee Crisis in Egypt,EGY002,EGY,Africa,International displacement,Refugee crisis,Yes,Individual,,,
Eritrea,Complex crisis in Eritrea,ERI001,ERI,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Spain,Mixed migration flows in spain,ESP002,ESP,Europe,International displacement,Mixed Migration,Yes,Individual,,,
Ethiopia,Complex crisis in Ethiopia,ETH001,ETH,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Ethiopia,International Displacement,ETH003,ETH,Africa,International displacement,International Displacement,No,Individual,,,
Ethiopia,Northern Ethiopia Conflict,ETH004,ETH,Africa,Conflict,Northern Ethiopia Conflict,No,Individual,,,
Ethiopia,Drought in Ethiopia,ETH005,ETH,Africa,Drought,Drought,No,Individual,,,
Gambia,Flood crisis in Gambia ,GMB002,GMB,Africa,Flood,Floods in Gambia ,Yes,Individual,,,
Greece,Mixed migration flows in Greece,GRC002,GRC,Europe,International displacement,Mixed Migration,Yes,Individual,,,
Guatemala,Complex crisis in Guatemala,GTM001,GTM,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
Honduras,Complex crisis in Honduras,HND001,HND,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
Haiti,Nippes Earthquake ,HTI002,HTI,Americas,Earthquake,Earthquake,No,Individual,,,
Hungary,Displacement from Ukraine conflict in Hungary,HUN002,HUN,Europe,International displacement,Displacement from Ukraine conflict,Yes,Individual,,,
Indonesia,Papua Conflict,IDN002,IDN,Asia,Conflict,Papua Conflict,Yes,Individual,,,
India,Conflict in Jammu and Kashmir,IND002,IND,Asia,Conflict,Kashmir conflict ,Yes,Individual,,,
Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,International displacement,Afghan Refugees,Yes,Individual,,,
Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,Multiple crises country,Country level,Yes,Aggregated,,,
Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,Conflict,Conflict,No,Individual,,,
Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,International displacement,Syrian Refugees,No,Individual,,,
Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,International displacement,Mixed Migration,Yes,Individual,,,
Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,International displacement,Syrian refugees,Yes,Individual,,,
Kenya,Multiple crisis in Kenya ,KEN001,KEN,Africa,Multiple crises country,Country level ,Yes,Aggregated,,,
Kenya,Refugee situation in Kenya,KEN002,KEN,Africa,International displacement,Refugee situation,No,Individual,,,
Kenya,Drought in Kenya,KEN003,KEN,Africa,Drought,Drought,No,Individual,,,
Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,International displacement,Syrian refugees,No,Individual,,,
Lebanon,Socioeconomic crisis in Lebanon,LBN004,LBN,Middle east,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,
Libya,Complex crisis in Libya,LBY001,LBY,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Libya,Mixed migration flows in Libya,LBY002,LBY,Africa,International displacement,Mixed Migration,No,Individual,,,
Sri Lanka,Socio-economic crisis in Sri Lanka,LKA002,LKA,Asia,Political and economic crisis,Socio-economic crisis,Yes,Individual,,,
Lesotho,Drought in Lesotho,LSO002,LSO,Africa,Drought,Drought,Yes,Individual,,,
Morocco,Mixed migration flows in Morocco,MAR002,MAR,Africa,International displacement,Mixed Migration,Yes,Individual,,,
Moldova,DIsplacement from Ukraine conflict in Moldova,MDA002,MDA,Europe,International displacement,Displacement from Ukraine conflict,Yes,Individual,,,
Madagascar,Multiple crisis in Madagascar,MDG001,MDG,Africa,Multiple crises country,Country level,Yes,Aggregated,,,
Madagascar,Drought in Madagascar,MDG002,MDG,Africa,Drought,Drought,No,Individual,,,
Madagascar,Tropical Cyclones Season in 2022 in Madagascar,MDG006,MDG,Africa,Tropical cyclone,Tropical Cyclones Season in 2022,No,Individual,,,
Mexico,Multiple crisis in Mexico,MEX001,MEX,Americas,Multiple crises country,Country Level,Yes,Aggregated,,,
Mexico,Criminal Violence in Mexico,MEX002,MEX,Americas,Other type of violence,Criminal Violence,No,Individual,,,
Mexico,Mixed Migration in Mexico,MEX003,MEX,Americas,International displacement,Mixed Migration,No,Individual,,,
Mali,Complex crisis in Mali,MLI001,MLI,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Myanmar,Multiple crises in Myanmar,MMR001,MMR,Asia,Multiple crises country,Country level,Yes,Aggregated,,,
Myanmar,Rakhine Conflict,MMR002,MMR,Asia,Conflict,Rakhine conflict,No,Individual,,,
Myanmar,Kachin and Shan Conflict,MMR003,MMR,Asia,Conflict,Kachin and Shan conflict,No,Individual,,,
Myanmar,Post-coup conflict in Myanmar,MMR004,MMR,Asia,Conflict,Post-coup conflict,No,Individual,,,
Mozambique,Multiple Crises in Mozambique,MOZ001,MOZ,Africa,Multiple crises country,Multiple Crises,Yes,Aggregated,,,
Mozambique,Cabo Delgado Islamist Insurgency,MOZ004,MOZ,Africa,Other type of violence,Violent Insurgency in Cabo Delgado,No,Individual,,,
Mozambique,2022 Tropical Cyclone Seasons in Mozambique,MOZ008,MOZ,Africa,Tropical cyclone,Tropical Cyclones Season,No,Individual,,,
Mauritania,Refugees from Mali in Mauritania,MRT002,MRT,Africa,International displacement,Malian refugees,No,Individual,,,
Mauritania,Food Security in Mauritania,MRT003,MRT,Africa,Drought,Food security,Yes,Individual,,,
Malawi,Complex crisis in Malawi,MWI002,MWI,Africa,Complex crisis,Complex,Yes,Individual,,,
Malawi,Tropical Cyclone Ana in Malawi,MWI004,MWI,Africa,Tropical cyclone,Tropical Cyclone Ana,No,Individual,,,
Malaysia,International Refugees in Malaysia,MYS001,MYS,Asia,International displacement,International Refugees,Yes,Individual,,,
Namibia,Food Security Crisis in Namibia,NAM002,NAM,Africa,Food Security,Food Security Crisis,Yes,Individual,,,
Niger,Multiple crises in Niger,NER001,NER,Africa,Complex crisis,Country level,Yes,Individual,,,
Niger,Boko Haram in Niger,NER002,NER,Africa,Conflict,Boko Haram,No,Individual,,,
Niger,Mali/Burkina Faso conflict,NER003,NER,Africa,Conflict,Cross-border violence ,No,Individual,,,
Niger,Nigerian Refugees,NER004,NER,Africa,International displacement,Nigerian Refugees,No,Individual,,,
Nigeria,Complex crisis in Nigeria,NGA001,NGA,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Nigeria,Middle belt conflict,NGA003,NGA,Africa,Conflict,Middle Belt,No,Individual,,,
Nigeria,Boko Haram crisis in Nigeria,NGA004,NGA,Africa,Conflict,Boko Haram ,No,Individual,,,
Nigeria,Northwest Banditry,NGA007,NGA,Africa,Other type of violence,Northwest Banditry,No,Individual,,,
Nigeria,Cameroonian Refugees in Nigeria,NGA008,NGA,Africa,International displacement,Cameroonian Refugees,No,Individual,,,
Nicaragua,Socioeconomic crisis in Nicaragua,NIC001,NIC,Americas,Political and economic crisis,Socioeconomic crisis,Yes,Individual,,,
Pakistan,Complex crisis in Pakistan,PAK001,PAK,Asia,Complex crisis,Complex crisis,Yes,Individual,,,
Pakistan,Kashmir conflict in Pakistan,PAK004,PAK,Asia,Conflict,Kashmir conflict,No,Individual,,,
Pakistan,Floods in Pakistan ,PAK005,PAK,Asia,Flood,Monsoon floods 2022,No,Individual,,,
Panama,Venezuela displacement in Panama,PAN002,PAN,Americas,International displacement,Venezuelan refugees,Yes,Individual,,,
Peru,Venezuela displacement in Peru,PER002,PER,Americas,International displacement,Venezuelan refugees,Yes,Individual,,,
Philippines,Multiple crises in the Philippines,PHL001,PHL,Asia,Multiple crises country,Country level,Yes,Aggregated,,,
Philippines,Mindanao conflict,PHL003,PHL,Asia,Conflict,Mindanao Conflict,No,Individual,,,
Philippines,Typhoon RAI,PHL010,PHL,Asia,Tropical cyclone,Typhoon RAI (Odette),No,Individual,,,
Philippines,Earthquake in Abra,PHL011,PHL,Asia,Earthquake,Earthquake in Abra,No,Individual,,,
Papua New Guinea,Highlands Violence,PNG003,PNG,Pacific,Other type of violence,Highlands Violence,Yes,Individual,,,
Poland,Displacement from Ukraine conflict in Poland,POL002,POL,Europe,International displacement,Displacement from Ukraine conflict,Yes,Individual,,,
DPRK,Complex crisis in DPRK,PRK001,PRK,Asia,Complex crisis,Complex crisis,Yes,Individual,,,
Palestine,Conflict in Palestine,PSE002,PSE,Middle east,Conflict,Conflict,Yes,Individual,,,
"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,REG001,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Regional Boko Haram,No,Individual,,,
"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama",Venezuela Regional Crisis,REG002,"VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN","Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela Regional Crisis,No,Individual,,,
"India,Pakistan",Regional Kashmir conflict,REG003,"IND,PAK","Asia,Asia",Regional crisis,Regional Kashmir conflict,No,Individual,,,
"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,REG004,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",Regional crisis,Syrian Regional Crisis,No,Individual,,,
"Turkey,Greece",Eastern Mediterranean Route ,REG006,"TUR,GRC","Middle east,Europe",Regional crisis,Eastern Mediterranean Route ,No,Individual,,,
"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,REG007,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",Regional crisis,Central Mediterranean Route,No,Individual,,,
"Algeria,Morocco,Spain",Western Mediterranean Route,REG008,"DZA,MAR,ESP","Africa,Africa,Europe",Regional crisis,Western Mediterranean Route,No,Individual,,,
"Bangladesh,Myanmar",Rohingya Regional Crisis,REG011,"BGD,MMR","Asia,Asia",Regional crisis,Rohingya Regional Crisis,No,Individual,,,
"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania",Southern Africa Regional Food Security Crisis,REG012,"LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA","Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",Regional crisis,Southern Africa Regional Food Security Crisis,No,Individual,,,
"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,REG013,"ARM,AZE","Middle east,Middle east",Regional crisis,Regional Nagorno-Karabakh Conflict,No,Individual,,,
"Ethiopia,Somalia,Kenya",Eastern Africa Regional Drought Crisis,REG014,"ETH,SOM,KEN","Africa,Africa,Africa",Regional crisis,Eastern Africa Regional Drought Crisis,No,Individual,,,
Romania,Displacement from Ukraine conflict in Romania,ROU002,ROU,Europe,International displacement,Displacement from Ukraine conflict,Yes,Individual,,,
Rwanda,Burundi and DRC refugees in Rwanda,RWA002,RWA,Africa,International displacement,Refugees,Yes,Individual,,,
Sudan,Complex crisis in Sudan,SDN001,SDN,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Sudan,Refugees in Sudan,SDN005,SDN,Africa,International displacement,Refugees,No,Individual,,,
Sudan,Floods in Sudan ,SDN006,SDN,Africa,Flood,Floods,No,Individual,,,
Sudan,Violence in Darfur and Kordofan regions,SDN008,SDN,Africa,Other type of violence,Violence in Darfur and Kordofan regions,No,Individual,,,
Senegal,Drought in Senegal,SEN002,SEN,Africa,Drought,Drought,Yes,Individual,,,
El Salvador,Complex crisis in El Salvador,SLV001,SLV,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
Somalia,Complex crisis in Somalia,SOM001,SOM,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Somalia,Mixed Migration Flows in Somalia,SOM002,SOM,Africa,International displacement,Mixed Migration,No,Individual,,,
South Sudan,Complex crisis in South Sudan,SSD001,SSD,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Slovakia,Displacement from Ukraine conflict in Slovakia,SVK002,SVK,Europe,International displacement,Displacement from Ukraine conflict,Yes,Individual,,,
Eswatini,Food Security Crisis in Eswatini,SWZ001,SWZ,Africa,Food Security,Food Security Crisis,Yes,Individual,,,
Syria,Syrian conflict,SYR001,SYR,Middle east,Complex crisis,Conflict,Yes,Individual,,,
Chad,Complex crisis in Chad,TCD001,TCD,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
Chad,Boko Haram in Chad,TCD003,TCD,Africa,Conflict,Boko Haram ,No,Individual,,,
Chad,CAR refugees in Chad,TCD004,TCD,Africa,International displacement,CAR refugees,No,Individual,,,
Chad,Darfur refugees in Chad,TCD005,TCD,Africa,International displacement,Darfur refugees,No,Individual,,,
Chad,Tibesti Conflict in Chad,TCD006,TCD,Africa,Conflict,Tibesti conflict,No,Individual,,,
Thailand,Multiple situations in Thailand,THA001,THA,Asia,Multiple crises country,Country level,Yes,Aggregated,,,
Thailand,Conflict in southern Thailand ,THA002,THA,Asia,Conflict,Conflict,No,Individual,,,
Thailand,Myanmar refugees in Thailand,THA003,THA,Asia,International displacement,Refugees,No,Individual,,,
Tonga,Tonga Volcano Eruption,TON002,TON,Pacific,Volcano,Volcano Eruption,Yes,Individual,,,
Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO002,TTO,Americas,International displacement,Venezuelan refugees,Yes,Individual,,,
Tunisia,Mixed migration flows in Tunisia,TUN002,TUN,Africa,International displacement,Mixed Migration,Yes,Individual,,,
Turkey,Complex situation in Turkey,TUR001,TUR,Middle east,Multiple crises country,Country level,Yes,Aggregated,,,
Turkey,Syrian Refugees in Turkey,TUR002,TUR,Middle east,International displacement,Syrian refugees,No,Individual,,,
Turkey,Mixed Migration Flows in Turkey,TUR003,TUR,Middle east,International displacement,Mixed Migration,No,Individual,,,
Turkey,Kurdish Conflict,TUR004,TUR,Middle east,Conflict,Kurdish conflict,No,Individual,,,
Tanzania,Multiple Crises in Tanzania,TZA001,TZA,Africa,Multiple crises country,Country level,Yes,Aggregated,,,
Tanzania,International Displacement in Tanzania,TZA002,TZA,Africa,International displacement,Refugees,No,Individual,,,
Tanzania,Food Security Crisis in North-East Tanzania,TZA003,TZA,Africa,Food Security,Food security in North-East,No,Individual,,,
Uganda,Multiple crises in Uganda,UGA001,UGA,Africa,Multiple crises country,Country level,Yes,Aggregated,,,
Uganda,International Displacement in Uganda,UGA005,UGA,Africa,International displacement,Refugees,No,Individual,,,
Uganda,Food Security Crisis in Karamoja Region,UGA007,UGA,Africa,Food Security,Food Security Crisis in Karamoja Region,No,Individual,,,
Ukraine,Conflict in Ukraine,UKR002,UKR,Europe,Conflict,Conflict,Yes,Individual,,,
Venezuela,Complex crisis in Venezuela,VEN001,VEN,Americas,Complex crisis,Complex crisis,Yes,Individual,,,
Yemen,Conflict in Yemen,YEM001,YEM,Middle east,Complex crisis,Complex crisis,Yes,Individual,,,
Yemen,Mixed migration flows in Yemen,YEM002,YEM,Middle east,International displacement,Mixed Migration,No,Individual,,,
Zambia,Drought in Zambia,ZMB002,ZMB,Africa,Drought,Drought,Yes,Individual,,,
Zimbabwe,Complex crisis in Zimbabwe,ZWE001,ZWE,Africa,Complex crisis,Complex crisis,Yes,Individual,,,
