,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,x,x,x,x,x,x,x,x,x,x,x,x,x,
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,4.817,0.209,0.416,0,0,2.7,0.8853151994118729,0.03841205660724131,0.07645653372541812,0,0,3,2.85,
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,21.861,0.936,0.165,0.338,0,2.8,0.9382403433476395,0.04017167381974249,0.007081545064377683,0.014506437768240343,0,2,2.4,
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,0.645,0,2.582,0,0,4,0.19987604586303068,0,0.8001239541369694,0,0,3,3.5,
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,11.868,0,0.115,0,0,1.8,0.9904030710172744,0,0.009596928982725527,0,0,1,1.4,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,0,80.2,0.925,17.15,5.425,5,0,0.7733847637415622,0.008919961427193828,0.16538090646094503,0.05231436837029894,5,5,
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,87.383,0.403,0.214,0,0,2.2,0.9929886363636363,0.004579545454545454,0.0024318181818181817,0,0,1,1.6,
International Displacement,International displacement,ETH003,Ethiopia,ETH,86,16.905,0.795,0,0,3.2,0.8293153326904532,0.16301832208293154,0.007666345226615236,0,0,2,2.6,
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,0,0.5,4.799,0,0.401,4.5,0,0.08771929824561403,0.8419298245614035,0,0.07035087719298246,5,4.75,
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.245,0.159,0.018,0,0,0.4,0.5791962174940898,0.375886524822695,0.0425531914893617,0,0,2,1.2,
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,4.931,6.669,2.872,0.428,0,4.2,0.33093959731543626,0.4475838926174497,0.192751677852349,0.0287248322147651,0,3,3.6,
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,6.458,1.4,0.95,0.35,0,3.5,0.7051758025769819,0.15287180607119458,0.1037344398340249,0.038217951517798644,0,3,3.25,
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,2.79,1.9,2.8,0,0,4.1,0.3724966622162884,0.253671562082777,0.37383177570093457,0,0,3,3.55,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,3.363,3.119,4.416,0,0,4.4,0.3085887318774087,0.28619930262433474,0.40521196549825655,0,0,3,3.7,
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.629,0.15,0.65,0,0,3,0.8755638512988023,0.02333177788147457,0.10110437081972314,0,0,3,3,
Papua Conflict,Conflict,IDN002,Indonesia,IDN,x,x,x,x,x,x,x,x,x,x,x,x,x,
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x,
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.443,0,0.78,2.6,0,4.2,0.8638359585867945,0,0.03142247109535511,0.10474157031785038,0,4,4.1,
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,34.093,1.781,0.244,2.65,1.455,4.4,0.8672856779445434,0.045306537776647164,0.006207071991859578,0.06741287204273722,0.03701348257440855,4,4.2,
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,0.305,1.725,0.164,2.501,1.435,4.4,0.049755301794453505,0.2814029363784666,0.026753670473083198,0.40799347471451874,0.23409461663947798,5,4.7,
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.661,0,0.312,0.149,0.02,2.8,0.9066329507877845,0,0.06068858198794009,0.02898268819295857,0.003890293717175647,3,2.9,
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,6.804,0,0.208,0,0,2.2,0.9703365658870508,0,0.02966343411294923,0,0,1,1.6,
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.87,0.373,1.13,0.334,0,3.6,0.788929719797887,0.04283417547083142,0.12976573265962332,0.03835553514010106,0,3,3.3,
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,14.219,0,2.673,0,0,4,0.8417095838512993,0,0.1582312200319659,0,0,3,3.5,
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,0.559,0,0.526,0,0,2.9,0.5152073732718894,0,0.4847926267281106,0,0,3,2.95,
Drought in Kenya,Drought,KEN003,Kenya,KEN,14.662,0,2.148,0,0,3.9,0.8722189173111243,0,0.12778108268887567,0,0,3,3.45,
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.398,1.9,0.105,1.363,0.06,3.6,0.4978754578754579,0.2783882783882784,0.015384615384615385,0.1997069597069597,0.008791208791208791,4,3.8,
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,3.055,0.342,1.321,2.047,0.06,4.2,0.44761904761904764,0.05010989010989011,0.19355311355311355,0.29992673992673996,0.008791208791208791,4,4.1,
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,4.9,1.2,0.871,0.273,0.156,3.5,0.6621621621621622,0.16216216216216217,0.11770270270270271,0.03689189189189189,0.02108108108108108,4,3.75,
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.766,0.286,0.065,0.277,0.006,2.6,0.9143243243243243,0.03864864864864865,0.008783783783783784,0.03743243243243243,0.0008108108108108108,2,2.3,
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.719,0.577,0.178,0,0,2.1,0.48778833107191316,0.3914518317503392,0.12075983717774763,0,0,3,2.55,
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x,
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,0.55,0.996,0.731,0.392,0.014,3.4,0.20499440924338427,0.37122623928438314,0.27245620573984347,0.1461051062243757,0.005218039508013418,4,3.7,
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,124.227,0.321,x,x,x,x,0.9632090686350526,0.0024889123220543995,x,x,x,x,x,
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,8.691,5.812,3.7,2.2,0,4.6,0.4259876482697775,0.2848740319576512,0.18135476914028037,0.1078325654347613,0,4,4.3,
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,34.822,3.619,3.047,0.498,0.15,4.3,0.8301625899966624,0.08627759500309923,0.07264101463786773,0.011872407380918324,0.003576026319553712,3,3.65,
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.318,0.729,0.247,0.437,0.15,3.2,0.5971148892323545,0.18778979907264295,0.06362699639361154,0.11257083977331273,0.03863987635239567,4,3.6,
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,2.953,2.699,0.8,0.061,0,3.2,0.453400890526639,0.4144019653001689,0.12283126055581145,0.009365883617380623,0,3,3.1,
Post-coup Violence in Myanmar,Conflict,MMR004,Myanmar,MMR,29.551,0.19,2,0,0,3.8,0.936610567018478,0.006021996133244588,0.06338943298152198,0,0,3,3.4,
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,7.969,1.033,1.072,0.228,0,3.5,0.7735391186177442,0.10027179188507085,0.10405746456998641,0.0221316249271986,0,3,3.25,
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.085,0,0,1.5,0.11578947368421053,0,0.8947368421052632,0,0,3,2.25,
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.476,0,0,2.8,0.6320845341018252,0.24879923150816521,0.1143131604226705,0,0,3,2.9,
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,14.462,3.603,1.064,0,0,3.4,0.7560248836844582,0.18835276282084792,0.05562235349469392,0,0,3,3.2,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,3.635,0,0.179,0,0,2.1,0.9528178243774574,0,0.04692005242463958,0,0,1,1.55,
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,1.1,0.65,0.42,0.014,0,2.7,0.5036630036630036,0.2976190476190476,0.19230769230769232,0.00641025641025641,0,3,2.85,
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65,
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25,
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05,
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,56.134,4.4,13.67,2.697,0,5,0.7299514960793748,0.05721642111285939,0.17776101741199724,0.03507106539576858,0,3,4,
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,13.532,0,2,0,0,3.8,0.871233582281741,0,0.12876641771825909,0,0,3,3.4,
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,4.4,6.003,2.697,0,4.9,0,0.33587786259541985,0.4582442748091603,0.20587786259541985,0,4,4.45,
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,29.993,0,5.6,0,0,4.6,0.8426656926923833,0,0.15733430730761666,0,0,3,3.8,
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,12.608,0,0.067,0,0,1.4,0.9947140039447732,0,0.005285996055226824,0,0,1,1.2,
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x,
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,0.861,1.727,0.073,0,0,1.4,0.32356257046223225,0.6490041337842917,0.027433295753476136,0,0,2,1.7,
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,76.124,133.769,10.474,0.526,0,5,0.34462090071166,0.6055855350125854,0.0474168371874038,0.002381254187566775,0,2,3.5,
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x,
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,13.65,0.058,1.31,0,0,3.5,0.8359872611464968,0.0035521803037726605,0.08023027927486526,0,0,3,3.25,
Mindanao conflict,Conflict,PHL003,Philippines,PHL,26.134,0,0.119,0,0,1.8,0.9955051043730001,0,0.00453298796282188,0,0,1,1.4,
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5,
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0,1.4,0.957,1.435,1.408,4.3,0,0.2692307692307692,0.18403846153846154,0.2759615384615385,0.27076923076923076,5,4.65,
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",6.035,4.223,4.636,4.201,0.122,4.9,0.31404485611697974,0.21975334339387,0.24124473122755893,0.21860852370297132,0.006348545558619972,4,4.45,
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",39.506,13.009,20.392,0.162,0,5,0.5406670407423121,0.17803719771722618,0.27907867905678196,0.0022170824836798093,0,3,4,
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x,
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",67.437,10.742,3.411,9.972,6.07,5,0.690726401179941,0.11002540150770239,0.03493731563421829,0.1021386430678466,0.06217223861029171,5,5,
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",32.03,3.592,1.688,0.738,0,4,0.8418313708999159,0.09440706476030278,0.0443650126156434,0.01939655172413793,0,3,3.5,
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x,
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x,
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",2.318,1.201,0.917,0.644,0.15,3.7,0.44312750908048176,0.22959281208181992,0.17530108965780922,0.1231122156375454,0.028675205505639456,4,3.85,
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",29.141,13.64,10.452,0.512,0.014,5,0.5420673747651557,0.2537249576815045,0.19442325936122323,0.009523986681299876,0.0002604215108167935,3,4,
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x,
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.436,0,0.14,0,0,1.9,0.9694055944055944,0,0.030594405594405596,0,0,1,1.45,
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,16,17.4,6.1,6.7,0.6,5,0.3418803418803419,0.3717948717948718,0.13034188034188035,0.14316239316239315,0.01282051282051282,4,4.5,
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,11.977,1.025,0,0,3.4,0,0.9208118705312524,0.07880372107326823,0,0,3,3.2,
Floods in Sudan ,Flood,SDN006,Sudan,SDN,46.298,0.071,0.031,0,0,0.8,0.997801724137931,0.0015301724137931035,0.000668103448275862,0,0,1,0.9,
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,0,13.762,0.068,0,0,1.4,0,0.9950831525668836,0.004916847433116414,0,0,2,1.7,
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,0.272,0.972,0.594,0,0,3,0.14798694232861806,0.528835690968444,0.32317736670293795,0,0,3,3,
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4,
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,5.3,0.757,0.548,0.095,0,3,0.7910447761194029,0.11298507462686568,0.0817910447761194,0.014179104477611941,0,3,3,
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,0,6.4,0,5.782,0.118,4.6,0,0.5203252032520326,0,0.47008130081300814,0.00959349593495935,4,4.3,
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.296,0,0,0.025,0,0.7,0.9803328290468987,0,0,0.018910741301059002,0,1,0.85,
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,3.4,4.471,3.829,0,4.9,0,0.29097133076593923,0.3826272999572101,0.32768506632434746,0,4,4.45,
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.44,0.47,0.15,0.04,0,2.1,0.4,0.42727272727272725,0.13636363636363635,0.03636363636363636,0,3,2.55,
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,4.1,0.03,7.38,5.99,5,0,0.23428571428571426,0.0017142857142857142,0.4217142857142857,0.3422857142857143,5,5,
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5462284931833066,0.07185806989343335,0.2819551110317319,0.08763469667202477,0.011430612609394535,4,4.35,
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8,
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65,
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7,
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2,
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.092,0,0,1.6,0.9743589743589743,0,0.025922795153564385,0,0,1,1.3,
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x,
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.092,0,0,1.6,0,0,1,0,0,3,2.3,
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.395,0,0.06,0,0,1.3,0.9620689655172414,0,0.041379310344827586,0,0,1,1.15,
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x,
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,47.77,3.433,1.67,0.738,0,4,0.891048478856951,0.06403536587640596,0.031150323627613736,0.013765831639029304,0,2,3,
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,30.647,3.433,1.67,0.408,0,3.9,0.8475855965484816,0.09494441064218154,0.04618618286409647,0.011283809945240334,0,3,3.45,
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,31.785,3.433,1.67,0.738,0,4,0.8447616010205709,0.09124009993089885,0.044384202413224896,0.019614096635305375,0,3,3.5,
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x,
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,0,11.129,0.264,0,0,2.4,0,0.9768278767664356,0.02317212323356447,0,0,2,2.2,
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,6.147,0,1.504,0,0,3.6,0.8034243889687622,0,0.19657561103123775,0,0,3,3.3,
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,0.909,2,1.7,1.7,0,4.2,0.14407988587731813,0.3170074496750674,0.26945633222380727,0.26945633222380727,0,4,4.1,
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,0,12.61,14.803,0,0,5,0,0.46001751057930834,0.5400189697942507,0,0,3,4,
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,3.6,6.4,8.4,8.9,3.4,5,0.11726384364820847,0.20846905537459284,0.2736156351791531,0.2899022801302932,0.11074918566775244,5,5,
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,6.25,4.438,1.175,0,0,3.5,0.5268481834274635,0.3741043580881733,0.09904745848436315,0,0,3,3.25,
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,5.851,2.906,6.734,0.066,0,4.7,0.37610079064086904,0.18679694028411647,0.43285980587516876,0.004242463199845729,0,3,3.85,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
