,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0.005611584850580011,0,0,0.6,0.008840697653995,0,0.3,0.2,2.8,1,5,3.9,4.3,0.6437086092715232,5,4.7,2.2,2.3841059602649006e-05,1.2,1.7,3.6,3.8
Complex crisis in Bangladesh,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",BGD010,Bangladesh,BGD,3.6,1.1336713528462778,5,4.3,5,0.9999882904666835,5,5,4.7,5,0.9005673335323977,4.5,4.75,4.4,0.007691007437457742,0.3,2.4,2.8,5.851146824777657e-07,0,1.4,1.9,3.7
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,3.4,1,5,4.2,2.7,1,5,3.85,4,0.4,0.008131328628413623,0,0.2,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,3.9,1.0228233555062822,5,4.45,3.2,1,5,4.1,4.3,0.2,0.0043159257660768235,0,0.1,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,5,1,5,5,5,0.5624091438974888,2.8,3.9,4.5,2.8,0.012007201017391448,0,1.4,2.4,0.0343878954607978,1.1,1.8,2.4,3.163686382393397e-05,1.6,2,1.9,1.7
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,5,0.4249220520355007,2.1,3.55,5,0.45655859144594146,2.3,3.65,3.6,2,0.005076142131979695,0,1,1.8,0.03406813627254509,1.1,1.5,0,0,0,0,0.8,0.9
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,4.3,0.04515801362504098,0.1,2.1999999999999997,4.3,0.08754696650922146,0.4,2.35,2.3,1.8,0.01883289124668435,0,0.9,1.9,0.056338028169014086,1.9,1.9,2.4,0.0001295774647887324,5,3.7,2.9,2
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,5,0.18655538193904386,0.8,2.9,2,0.018303585942325822,0,1,2.1,2.1,0.1522456229383405,0.7,1.4,1.5,0.02,0.7,1.1,x,x,x,x,1.1,1.3
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1,5,4.85,2.6,1,5,3.8,4.4,3.8,1,5,4.4,4.6,0.26704918032786884,5,4.8,3.5,4.5737704918032786e-05,2.3,2.9,4,4.2
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.4,0.6698122832075086,3.3,3.85,3.9,0.03792551976239433,1.3,2.6,1.7,1.1423349326022389e-06,0.1,0.9,1.8,3
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.5,1.0057752110173257,5,4.75,4.7,0.9142368898857204,4.6,4.65,4.7,3.5,0.14988317757009345,0.7,2.1,4.8,0.6040530007794233,5,4.9,3.9,0.0001426344505066251,5,4.5,4.7,3.7
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07301093693808043,0.3,1.45,2.4,0.18437822635195272,0.9,1.65,1.6,2.8,0.30025101370921026,1.5,2.15,4.1,0.5144694533762058,5,4.6,3.5,0.00017299035369774919,5,4.3,4.5,3.6
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.18620084195384062,0.8,2,3.9,0.528712307308911,2.6,3.25,2.7,2.9,0.11352770857181335,0.5,1.7,4.4,0.693950177935943,5,4.7,3.2,0.0001073546856465006,5,4.1,4.4,3.3
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.9,0.48934441835374753,2.4,3.15,2.5,0.20114635622485671,1,1.75,2.5,2.1,0.10743362831858407,0.5,1.3,3.6,0.5848434925864909,5,4.3,0.7,4.942339373970346e-06,0.2,0.5,2.9,2.2
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,1.0343221366974702,5,5,5,1,5,5,5,4.9,0.24339681721063877,1.2,3.0500000000000003,5,0.4097393015248401,5,5,4.6,6.693404971811268e-05,3.3,4,4.6,4
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,2.5,1,5,3.75,4.2,1.6,0.050517241379310344,0.2,0.9,3.4,0.78839590443686,5,4.2,0,0,0,0,2.7,1.9
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.18992248062015504,0.9,2.5500000000000003,5,0.7063265306122449,5,5,4.3,0.00010357142857142858,5,4.7,4.9,4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,2.6,0.031101397025687247,0.1,1.35,4.7,0.49498062015503874,2.4,3.55,2.6,4.7,0.8738107356798872,4.4,4.550000000000001,5,0.13173223407115334,4.4,4.7,1.6,5.824894703826508e-07,0,0.8,3.3,4
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0,0.01964355660007834,0,0,1.3,0.4495597945707997,2.2,1.75,0.9,1.5,0.09587923296613628,0.4,0.95,3.4,1,5,4.2,2.9,0.000425531914893617,5,4,4.1,2.9
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,3.1,1.0000025911166157,5,4.05,3.5,1,5,4.25,4.2,1.8,0.03403330919623461,0.1,0.9500000000000001,3.7,1,5,4.4,0,0,0,0,2.8,2
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.3,0.6065989847715736,3,2.65,2.2,0.0502092050209205,1.7,2,0,0,0,0,1.1,1.9
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.571912013536379,2.8,1.4,1.4,0,0.04437869822485207,0.2,0.1,2.1,1,5,3.6,0,0,0,0,2.2,1.3
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,1,5,2.6,3.2,2.2,0.5812182741116751,2.9,2.55,1.1,0.008733624454148471,0.3,0.7,0,0,0,0,0.4,1.6
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1.0163893038227683,5,3.9,3.5,1,5,4.25,4.1,1,0.011042835515183898,0,0.5,3,1,5,4,x,x,x,x,4,2.7
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005717639897386843,0,0.75,3.5,1,5,4.3,2,0.00010266159695817491,5,3.5,3.9,2.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004848036871168312,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,5.747126436781609e-06,0.3,0.2,0.2,1.5
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048480368711683,5,5,5,1.9,0.009454576923909046,0,0.95,3.5,0.6018306636155606,5,4.3,2.2,7.322654462242563e-05,3.7,3,3.7,2.6
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2,0.0042210418938407965,0,1,3.8,1,5,4.4,1.8,3.541666666666667e-05,1.8,1.8,3.4,2.4
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.2905441098784997,1.4,2,4,0.5663636363636364,5,4.5,x,x,x,x,4.5,3.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.5,0.001303835800807537,0,0.25,2.6,1,5,3.8,3.6,0.005225806451612903,5,4.3,4.1,2.7
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.3,0.035739814152966405,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,0.9999997341771849,5,5,5,1,5,5,5,5,0.6709772466852185,3.3,4.15,5,0.05138303186607651,1.7,3.4,5,4.126441989335378e-05,2.1,3.6,3.5,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,1,5,5,5,5,0.3272221312817155,1.6,3.3,4.3,0.022940041449296077,0.8,2.6,x,x,x,x,2.6,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.26493673904342596,1.2,2.65,5,0.23852395762692047,1.2,3.1,2.9,5,1,5,5,4.8,0.07349673202614379,2.4,3.6,5,0.00011607843137254902,5,5,4.4,4.7
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.694956534868466,3.4,4.1,5,0.4864017959450927,2.4,3.7,3.9,4.8,0.38621794871794873,1.9,3.3499999999999996,4,0.025809128630705395,0.9,2.5,2,9.95850622406639e-07,0,1,1.8,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.052805905176492855,0.2,0.1,0.6,0.8,0.17025089605734767,0.8,0.8,2.8,1,5,3.9,1.3,8.421052631578948e-05,4.2,2.8,3.4,2.3
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.1,0.5205681818181818,2.6,3.3499999999999996,2.9,0.0114603798297315,0.4,1.7,3.2,1.844575420213927e-05,0.9,2.1,1.9,2.7
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.8,0.5967162647511545,3,3.4,4.1,0.129664660361135,4.3,4.2,3.2,3.233018056749785e-05,1.6,2.4,3.4,3.4
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7105263157894737,3.5,3.75,3.1,0.01950617283950617,0.7,1.9,4.1,8.851851851851852e-05,4.4,4.3,3.3,3.5
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.006797816458955608,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.22297417433729155,1,2.7,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.8,1.6734093416697317e-05,0.8,1.8,1.8,3.3
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010486413246761056,0,1.95,2,x,x,x,x,3.6,x,x,3.6,2.8,x,x,2.8,3.2,3.2
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.2772187664027339,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,1,5,5,4.7,3.7,0.12542700467457749,0.6,2.15,5,1.188496685181867,5,5,4.1,0.00012650062712775488,5,4.6,4.8,3.8
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.129622641509434,5,5,4.1,0.00013320754716981132,5,4.6,4.8,3.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.14500179791441928,0.7,1.7000000000000002,1.6,2.2,0.10802851828890267,0.5,1.35,3.5,0.4031563845050215,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.2,0.0026982079826228618,0,0.6,3.1,1,5,4.1,4.5,0.008767295597484277,5,4.8,4.5,3.1
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.7898022892819979,3.9,3.55,3,3.5,0.44126043039086515,2.2,2.85,4.5,0.32819109231152027,5,4.8,1.4,2.2393630256282656e-06,0.1,0.8,3.4,3.1
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5286913615306793,2.6,3.75,4.3,4.9,0.9812334239769027,4.9,4.9,4,0.022854796770220336,0.8,2.4,4,2.2717941699739976e-05,1.1,2.6,2.5,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.020979393337001474,0.1,0.15000000000000002,0.8,2.2,0.5270727580372251,2.6,2.4000000000000004,4,1,5,4.5,x,x,x,x,4.5,3.7
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5077119681936778,2.5,3.7,4.3,4.9,1,5,4.95,2.4,0.0015731515469323545,0.1,1.3,3.2,6.082852648138437e-06,0.3,1.8,1.6,3.8
2023 Floods in Laos,Floods,LAO003,Laos,LAO,3.7,0.7311525129982669,3.6,3.6500000000000004,2.6,0.7964530431277711,4,3.3,3.5,0.9,0.018556005398110663,0,0.45,0,0,0,0,1.1,5.4545454545454546e-05,2.7,1.9,1,0.7
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0.7,5.263157894736842e-07,0,0.4,3.3,3.9
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.7,0.3291228070175439,5,4.9,3.4,4.456140350877193e-05,2.2,2.8,4.1,4.3
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.2348528563185228,5,4.8,5,0.0008381419503750721,5,5,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.1,0.10949221004039238,3.6,3.9,4.5,0.00020109636468551643,5,4.8,4.4,4.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.2899596076168494,1.4,1.2,1.4,3,1,5,4,2.4,0.022388059701492536,0.7,1.6,5,0.002165174129353234,5,5,3.8,3.9
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0.9,0.00018151291010573128,0,0.5,1,2.268911376321641e-07,0,0.5,0.5,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,1.0136598771419334,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0,0,0,0,0,3.3
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,1,0.06834788231490463,0.2,0.6,2.2,0.20098016971457094,1,1.6,1.1,0.6,0.01693384511176338,0,0.3,0.9,0.05333333333333334,1.8,1.4,1,6.666666666666667e-05,3.3,2.2,1.8,1.1
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,1,5,4,1.5,1,5,3.25,3.7,0.4,0.018030513176144243,0,0.2,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1,5,4,0.9,1,5,2.95,3.5,0.3,0.024402907580477674,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,5,1,5,5,3.9,0.013638155301537249,0.5,2.2,5,8.674287215871765e-05,4.3,4.7,3.7,4.5
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,5,1,5,5,1.8,0.0004992773617133097,0,0.9,3.6,8.513992905005913e-06,0.4,2,1.5,3.8
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,5,1,5,5,3.9,5,1,5,5,3.9,0.01313887793982394,0.4,2.2,5,7.741426882144265e-05,3.9,4.5,3.6,4.4
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1,5,3.75,1.4,1,5,3.2,3.5,1,0.04548872180451128,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.2,0.3055465138988347,1.5,2.35,2.6,4.1,1,5,4.55,2.5,0.005646106317247257,0.2,1.4,1.8,1.8110152338340257e-06,0.1,1,1.2,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,3,0.25167632315604455,1.2,2.1,2.3,3.6,0.6237713398861873,3.1,3.35,1.3,0.0016587186398507154,0.1,0.7,0,0,0,0,0.4,2.1
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.2,0.3055465138988347,1.5,2.35,2.6,4.1,1,5,4.55,2.4,0.004793863854266539,0.2,1.3,1.8,1.8110152338340257e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.0066112026359143325,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.007939313984168866,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.48919046734338845,2.4,3.7,3.8,1.4,0.003935988399192087,0,0.7,3.4,1,5,4.2,4.3,0.004403508771929824,5,4.7,4.5,3.1
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.11457364341085272,3.8,4.2,4.9,0.00019744186046511628,5,5,4.6,4.2
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,0.9803431022158685,4.9,4.95,5,0.06793656580386438,2.3,3.7,5,0.0001525884068538097,5,5,4.5,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056350069713637825,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3701036866359447,5,4.7,3.4,6.826036866359447e-05,3.4,3.4,4.1,4.2
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.2292123125009576,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.01928996511389288,0.6,1.7,4.5,0.0002751898214652165,5,4.8,3.7,4
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.7,1.0366310692999525,5,4.85,5,1,5,5,4.9,5,0.8312187276626162,4.1,4.55,4.8,0.050478340320326776,1.7,3.3,5,0.00014603891217886703,5,5,4.3,4.4
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,4.3,0.3723051891452147,1.8,3.05,4.3,0.0759325737474637,2.5,3.4,3.6,2.4738567192133605e-05,1.2,2.4,2.9,3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.3365680748445581,1.6,2.55,2.7,4.3,1,5,4.65,4.2,0.08045580110497237,2.7,3.5,3,1.156767955801105e-05,0.6,1.8,2.8,3.9
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5237085246092161,2.6,3.4000000000000004,3.8,2.7,0.06829403606102635,0.3,1.5,2.3,0.03411860276198213,1.1,1.7,3.2,0.000148659626320065,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,2.4,1.0417257443791776,5,3.7,3.1,3.7,1,5,4.35,1.6,0.0025277075636787865,0.1,0.9,0,0,0,0,0.5,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7176422928904193,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,1.6,0.010038610038610039,0.3,1,0,0,0,0,0.5,1.5
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.3,0.9253759398496241,4.6,4.449999999999999,4.3,4.2,0.5367154174283973,2.7,3.45,2.9,0.009745482070205317,0.3,1.6,5,0.00038073611505345825,5,5,3.8,3.6
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.29673590504451036,1.4,2.25,4,0.28652173913043477,5,4.5,4.4,0.0005217391304347826,5,4.7,4.6,3.7
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018334985133795837,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,1,5,3.2,4.3,2.9,0.6199848599545799,3.1,3,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,4.4,0.3231420225783532,1.5,2.95,3.7,1,5,4.35,3.7,3.3,0.2504784688995215,1.2,2.25,4,0.2142629735752945,5,4.5,4.1,0.00022731614135625597,5,4.6,4.6,3.7
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.06283891547049442,0.3,0.15,1.2,1.7,0.399746192893401,2,1.85,3.4,0.819047619047619,5,4.2,2.4,0.00015238095238095237,5,3.7,4,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,2.9,0.60207336523126,3,2.95,2.6,2.9,0.23165562913907284,1.1,2,3.6,0.19210977701543738,5,4.3,4,0.00037449971412235563,5,4.5,4.4,3.4
Nigerian Refugees,Displacement,NER004,Niger,NER,2.7,0.03299597379016342,0.1,1.4000000000000001,2.1,0.3350877192982456,1.6,1.85,1.6,2.4,0.19585911470728223,0.9,1.65,2.7,0.0959902794653706,3.2,3,1.5,1.3365735115431348e-05,0.7,1.1,2.2,1.9
