Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,237708,43885000,27988000,740000,x,x,2590,x,x,#N/A,x,15897000,17748000,9757000,483000,0,2,x,x,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,108869,12675000,91000,91000,x,x,x,x,x,#N/A,x,12584000,0,91000,x,x,2,x,x,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,120340,7198000,1773000,250000,x,x,8,x,x,#N/A,x,5425000,1773000,x,x,x,x,x,x,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,91315,11972000,1634000,27000,0,x,0,35489,26550,#N/A,x,10338000,1384000,250000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,770880,245145000,94415000,3598000,12900,x,1147,1200000,805000,#N/A,x,150730000,73815000,19000000,1600000,0,5,x,x,2.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4179000,x,x,x,x,4,x,x,#N/A,x,4179000,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,669831,33000000,33000000,300000,12867,0,1739,1200000,805000,#N/A,0,0,12400000,20570000,30000,0,1,#N/A,#N/A,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,74180,58000,58000,58000,x,x,2,x,x,#N/A,x,0,23000,36000,0,0,2,x,x,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,189315,34050000,14621000,1610000,x,x,0,x,x,#N/A,x,19429000,12571000,2050000,0,0,3,x,x,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,99949,26252000,182000,182000,0,x,150,x,x,#N/A,x,26070000,0,182000,x,x,4,x,x,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,63679,4566000,265000,31000,x,x,82,x,x,#N/A,x,4302000,233000,31000,x,x,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,306100,37779000,958000,958000,x,x,0,0,0,#N/A,x,36822000,0,958000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,120410,26172000,26172000,34000,x,x,0,x,x,#N/A,x,0,15254000,4970000,5459000,0,1,x,x,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,6025,5544000,4796000,6579000,47883,x,21546,291277,80502,#N/A,x,748000,1496000,1875000,879000,546000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,5660,3244000,2496000,2962000,1826,x,262,x,10870,#N/A,x,748000,1496000,840000,120000,40000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,365,2300000,2300000,3617000,46057,x,21284,291277,36591,#N/A,x,0,0,1035000,759000,506000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",368971,21538000,11099000,5454000,1,x,1804,0,4300,#N/A,5200000,10439000,0,5819000,4406000,874000,5,x,800000,1.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5811256,214402000,64593000,11996000,x,x,512,x,x,#N/A,x,149809000,37651000,26943000,0,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",566255,201624000,39600000,20199000,x,x,3143,x,x,#N/A,x,162023000,17456000,13401000,8677000,67000,5,#N/A,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",150195,16386000,854000,507000,x,x,6,x,x,#N/A,x,15532000,434000,362000,51000,6000,3,x,x,1.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4600608,124566000,1326000,x,x,x,831,x,x,#N/A,x,123240000,0,1326000,x,x,4,x,x,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",3327774,132060000,366000,x,x,x,100,x,x,#N/A,x,131694000,0,366000,x,x,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37488,4997000,4997000,1283000,x,x,1386,x,x,#N/A,x,0,1794000,1739000,1464000,x,5,x,x,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
Southern Africa Regional Food Security Crisis,0,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2665225,93980000,75342000,359000,4,284648,3127,437,437,#N/A,228,18638000,43614000,31578000,150000,0,5,#N/A,#N/A,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,6,x,x,#N/A,x,2552000,353000,154000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",2171646,142090000,138680000,2909000,4893,1032143,315,x,x,#N/A,7852053,9291000,108659000,11977000,12164000,0,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,#N/A,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19125000,78000,78000,x,x,0,0,0,#N/A,x,19047000,0,78000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145464000,1228000,1228000,x,x,0,x,x,#N/A,x,144237000,0,1228000,0,0,2,x,x,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2516000,134000,134000,x,x,x,0,0,#N/A,0,2382000,0,134000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49000000,49000000,11191000,6000,x,5534,48200,24800,#N/A,14851,0,24214000,10547000,10651000,3588000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,1840687,49000000,13007000,917000,x,x,10,x,x,#N/A,x,35993000,12089000,917000,x,x,2,#N/A,#N/A,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0
Drought in Senegal,Drought,SEN002,Senegal,SEN,196710,18032000,3395000,4000,0,0,15,0,0,#N/A,x,14638000,2876000,507000,12000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,4078000,49000,x,x,9,x,x,#N/A,x,2222000,2963000,446000,669000,0,3,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,18700000,18700000,8023000,x,1710640,2494,x,x,#N/A,x,0,11830000,3504000,2130000,1237000,5,x,x,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,39000,39000,x,x,x,x,x,#N/A,x,2655000,0,39000,x,x,2,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12400000,12400000,7074000,x,170,631,x,x,#N/A,x,0,3853000,1282000,7179000,85000,5,x,x,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,48080,5555000,123000,123000,x,x,0,x,x,#N/A,x,5432000,0,123000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1222000,1222000,x,0,0,0,#N/A,#N/A,#N/A,#N/A,0,822000,400000,x,x,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,23460000,23460000,15254000,x,x,3139,x,x,#N/A,x,0,6799000,8588000,8074000,0,5,x,1160000,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,123000,0,x,0,10000,10600,#N/A,x,4778000,8223000,297000,280000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18894000,6010000,1747000,x,x,176,x,x,#N/A,x,12884000,0,5475000,534000,0,4,x,x,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,22320,730000,512000,264000,x,x,96,x,x,#N/A,x,218000,0,450000,62000,0,4,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,148765,3905000,1097000,211000,x,x,34,x,0,#N/A,x,2808000,0,1094000,2000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,374096,3127000,2114000,1272000,x,x,46,x,0,#N/A,x,1013000,0,2005000,109000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,8560,1195000,359000,47000,x,x,10,x,x,#N/A,x,836000,239000,120000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,425000,123000,123000,x,x,0,x,x,#N/A,x,303000,0,123000,x,x,2,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,14950,1340000,858000,0,0,x,0,x,x,#N/A,x,483000,494000,342000,22000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1531000,212000,36000,x,x,0,x,x,#N/A,x,1319000,174000,26000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12572000,86000,86000,x,x,831,0,0,#N/A,x,12486000,0,86000,x,x,4,x,x,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,333028,52050000,16707000,7853000,x,x,24,x,x,#N/A,x,35343000,11455000,4594000,584000,73000,5,x,x,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,203090,42290000,6941000,3333000,x,x,0,0,0,#N/A,x,35350000,4521000,1819000,533000,67000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,657000,316000,x,x,1,0,0,#N/A,x,15078000,428000,172000,51000,6000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,0,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,98092,13422000,9100000,761000,0,x,0,3273605,298000,#N/A,34000000000,4322000,6854000,2246000,x,x,3,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,22102000,17124000,238000,x,x,0,x,x,#N/A,x,4978000,16508000,616000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,237000,0,x,0,x,x,#N/A,x,0,14778000,237000,x,x,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,7087000,2109000,x,x,x,0,x,x,#N/A,x,4978000,1730000,379000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7736000,1702000,1702000,x,127000,x,x,x,#N/A,x,6033000,0,1702000,x,x,2,#N/A,#N/A,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,603628,38460000,16749000,14279000,3151,x,19446,x,x,#N/A,486000000000,21711000,2127000,9504000,1170000,3948000,4,x,x,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28302000,19528000,7700000,x,x,220,x,x,#N/A,x,8774000,11928000,7600000,0,0,5,x,x,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,34450000,34450000,5797000,1037,35674,1124,x,x,#N/A,x,0,16250000,6916000,6188000,5096000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,131000,380000,380000,380000,234,35674,131,x,x,#N/A,x,0,0,0,380000,0,1,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
Drought in Zambia,"Drought,Food Security",ZMB002,Zambia,ZMB,752618,21149000,15315000,0,0,23378,740,0,0,#N/A,x,5834000,5515000,9762000,38000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Zimbabwe,"Socio-political,Drought,Food Security",ZWE001,Zimbabwe,ZWE,386850,17029000,17029000,23000,0,34373,716,x,x,#N/A,x,0,7629000,9400000,x,x,4,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0
